Charge Code,,Charge Description,Fee Schedule,,,,,,,,,,,,,,,,,,,,,,,,
BL087220,,ABO CONFIRMATION,$25.00,,,,,,,,,,,,,,,,,,,,,,,,
BL087221,,RH CONFIRMATION,$24.00,,,,,,,,,,,,,,,,,,,,,,,,
BL087222,,CROSSMATCHED PRODUCT,$280.00,,,,,,,,,,,,,,,,,,,,,,,,
BL087223,,RBC'S LEUKOREDUCED,$650.00,,,,,,,,,,,,,,,,,,,,,,,,
BL087224,,PLATELET PHERESIS LEUKOREDUCED,"$1,516.00",,,,,,,,,,,,,,,,,,,,,,,,
BL087225,,PLATELET PHERESIS IRRADIATED,"$1,427.00",,,,,,,,,,,,,,,,,,,,,,,,
BL087226,,PLATELET PHERESIS LUEKO REDUCED,"$1,555.00",,,,,,,,,,,,,,,,,,,,,,,,
BL087228,,WB/RBC'S LR FROZED/DEGLYC/WASHED,"$1,003.00",,,,,,,,,,,,,,,,,,,,,,,,
BL087229,,WHOLE BLOOD LEUKORED IRRADIATED,$457.00,,,,,,,,,,,,,,,,,,,,,,,,
BL087231,,FFP 8-24 HRS COLLECTION,$247.00,,,,,,,,,,,,,,,,,,,,,,,,
BL087232,,BLOOD SPLIT UNIT,$544.00,,,,,,,,,,,,,,,,,,,,,,,,
BL087234,,RBC LEUKOREDUCED CMV NEG,$696.00,,,,,,,,,,,,,,,,,,,,,,,,
BL087235,,RBC LEUKORED IRRAD CMV NEG,$735.00,,,,,,,,,,,,,,,,,,,,,,,,
BL087236,,PLATELET PHERESIS LEUKORED IRRAD CMV NEG,"$1,601.00",,,,,,,,,,,,,,,,,,,,,,,,
BL186003,,GALACTOSE ALPHA-1.3 GALACTOSE (ALPHA-GAL) IGE,$96.00,,,,,,,,,,,,,,,,,,,,,,,,
BL186341,,IA2 AUTOANTIBODIES,$151.00,,,,,,,,,,,,,,,,,,,,,,,,
BL286003,,MUSSEL - IGE,$10.00,,,,,,,,,,,,,,,,,,,,,,,,
CD000001,,ABLATION AV NODE BY IC CAT,"$5,813.00",,,,,,,,,,,,,,,,,,,,,,,,
CD000008,,ARRHYTHMIA INDUCT BY PACING,"$3,471.00",,,,,,,,,,,,,,,,,,,,,,,,
CD000011,,ATRIAL REVSN TRANSVEN BLLN,"$6,716.00",,,,,,,,,,,,,,,,,,,,,,,,
CD000012,,BIOPSY ENDOMYOCARDIAL,"$5,793.00",,,,,,,,,,,,,,,,,,,,,,,,
CD000014,,CARD STRESS TEST,"$1,741.00",,,,,,,,,,,,,,,,,,,,,,,,
CD000016,,CARDIOVERSION EXTERNAL,"$1,993.00",,,,,,,,,,,,,,,,,,,,,,,,
CD000017,,CARDIOVERSION INTERNAL,"$2,248.00",,,,,,,,,,,,,,,,,,,,,,,,
CD000023,,CATH PROC RT HEART,"$6,604.00",,,,,,,,,,,,,,,,,,,,,,,,
CD000024,,CATH W INJ AORTOGRAM,"$1,176.00",,,,,,,,,,,,,,,,,,,,,,,,
CD000028,,CATH W INJ LV/LA ANGIOGRAM,"$1,426.00",,,,,,,,,,,,,,,,,,,,,,,,
CD000029,,CATH W INJ PULM ANGIOGRAM,"$1,897.00",,,,,,,,,,,,,,,,,,,,,,,,
CD000030,,CATH W INJ RV/RA ANGIOGRAM,"$1,579.00",,,,,,,,,,,,,,,,,,,,,,,,
CD000031,,CPR,$923.00,,,,,,,,,,,,,,,,,,,,,,,,
CD000033,,DOPPLER ECHO PED COMP,$969.00,,,,,,,,,,,,,,,,,,,,,,,,
CD000034,,DOPPLER ECHO COLOR FLW MAPPING,$969.00,,,,,,,,,,,,,,,,,,,,,,,,
CD000035,,DOPPLER ECHO COMPLETE,$969.00,,,,,,,,,,,,,,,,,,,,,,,,
CD000036,,ECHO 2D W WO M-MODE COMP,"$3,237.00",,,,,,,,,,,,,,,,,,,,,,,,
CD000037,,ECHO 2D W WO M-MODE LTD,"$1,942.00",,,,,,,,,,,,,,,,,,,,,,,,
CD000038,,ECHO COLOR FLOW (ADD-ON),$969.00,,,,,,,,,,,,,,,,,,,,,,,,
CD000039,,ECHO CONGENITAL ANOMALY COMP,"$3,233.00",,,,,,,,,,,,,,,,,,,,,,,,
CD000040,,ECHO CONGENITAL ANOMALY LTD,"$1,939.00",,,,,,,,,,,,,,,,,,,,,,,,
CD000041,,ECHO DOPPLER - COMPLETE,$923.00,,,,,,,,,,,,,,,,,,,,,,,,
