ITEM #,ITEM DESCRIPTION,ITEM PRICE
13040046,PAD VEIN LIGHT,7.25 
13080001,TRAY PERICARDIOCENTESIS   G10210,446.25 
13090025,ISOLETTE INCUBATOR DAILY,48.67 
13090036,SET IV MICRO W/FILTER,8.56 
13090041,TRAY INFANT GAVAGE,19.22 
13091035,IV .45 1000           2B1314X,12.08 
13091040,IV D10% .25 500                 48620303,26.99 
13091041,IV D10 1000      2B0164X,26.99 
13091043,IV D5 .2 1000    2B1094X,29.66 
13091044,IV D5.45 1000           2B1074X,37.80 
13091049,IV D5 250 BOTTLE                15220205,12.08 
13091051,IV D5.9 1000   2B1064X,37.80 
13091052,IV D5.9 500                     79410334,32.34 
13091053,IV D5 100           2B0082,14.91 
13091054,IV D5 1000    2B0064X,19.63 
13091055,IV D5 250    2B0062Q,12.08 
13091056,IV D5 50    2B0081,12.08 
13091057,IV D5 500           2B0063Q,12.08 
13091058,IV D5LR 1000    2B2074X,20.07 
13091059,IV  D5LR 500                    79290334,14.91 
13091064,IRRIGATION  NS 1000      2F7124,26.99 
13091065,IRRIGATION NORMAL SALINE 3000   2B7127,37.80 
13091066,IRRIGATION  WATER  H2O 1000   2F7114,26.99 
13091067,IRRIGATION STERILE WATER 3000   2B7117,25.10 
13091068,IV LIDOCAINE 500CC         2B0973,12.71 
13091069,IV LR 1000           2B2324X,26.99 
13091070,IV LR 500            2B2323Q,37.80 
13091071,IV NS 250      2B1322Q,12.08 
13091072,IV NORMOSOL                       796509,24.83 
13091073,IV NORMOSOL PH 7.4                767009,24.83 
13091074,IV NS 1000    2B1324X,26.99 
13091077,IV NS 100    2B1302,12.08 
13091079,IV NS 50    2B1301,17.59 
13091080,IV NS 500            2B1323Q,54.59 
13091081,IV RINGERS INJ 1000 BAG      2B2304X,12.08 
13091083,IV WATER INJECTABLE 1000 BAG   2B0304X,6.35 
13091084,IV D10 500                        793819,14.91 
13100036,SPLINT ANKLE CUSTOM,581.96 
13100038,SUPPORT ARCH,59.33 
13100041,WEDGE HEEL PR,29.82 
13100047,INSERT HEEL VISCO,43.58 
13100048,SPLINT GAIT LOCK,292.74 
13100052,STRAP PLANTAR FASCIA,38.85 
13100057,SUPPORT POSTURE,57.80 
13100058,PAD KNEE LENGTH,26.25 
13100059,SUPPORT WRIST,63.16 
13100060,SUPPORT KNEE DONJOY,81.01 
13100062,TRANSFER HANDLES,236.83 
13100063,GLOVE FLEXION FINGER LFT. SM/MD.,42.26 
13100064,SPLINT LMB (HFO NONTORSION JNTS PRE CST),40.48 
13100065,SPLINT MOD SAFETY PIN,41.74 
13100315,THERA-BAND MEDIUM,17.59 
13100316,THERA-BAND EXTRA HEAVY BLUE   C716804,20.63 
13110001,SPLINT ORTHOGLASS 5 INCH OG-5L2,18.80 
13110002,SPLINT ORTHOGLASS 3 INCH OG-3L2,15.65 
13110003,SPLINT ORTHOGLASS 4 INCH OG-4L2,18.80 
13110004,SPLINT TOAD/FROG LARGE   79-71967,9.14 
13110006,BOOT WALKER XL                     12009,82.74 
13110007,BOOT WALKER MEDIUM                 12005,100.12 
13110008,BOOT WALKER LARGE                  12007,100.12 
13110009,BOOT WALKER SMALL                  12003,100.12 
13110011,CURRETTE EARWAX-INFANT SCOOP   4888,2.10 
13110019,ANKLE SUPPORT LG   4040L,91.67 
13110020,ANKLE SUPPORT SM   4040S,91.67 
13110021,ANKLE SUPPORT MD   4040M,96.25 
13120015,EXTERNAL (ZOLL) PACING,65.73 
13120019,ELECTRODE QUICK PACING DEFIB 3010188-011,52.71 
13120047,CATHETER SWAN GANZ   831F75P,250.85 
13120048,CATH SWAN GANZ PACEPO,106.94 
13120049,PROBE PACING         D98100H,397.03 
13120057,PAC 5 TRAY,80.22 
13120059,LEAD BIPOLAR,28.25 
13120094,CAP DEAD END,3.20 
13120101,GUIDE SPRING WIRE   AW-14735,29.03 
13120103,CATH GUARD,19.74 
13120112,CATHETER PACING,413.07 
13140034,PACK CATH LAB                 DYNJSCATH3,156.23 
13210233,URETEROSCOPE,68.88 
13210236,STERILE INSTRUMENTS,4.10 
13210241,OB KIT,41.90 
13210262,POLYPECTOMY,396.80 
13210270,DRAPE WHOLE SHEET,37.33 
13210293,BOVIE PAD,26.36 
13210352,SURGILAV,317.21 
13210380,PACK OB C SECTION,46.62 
13210388,COOKS PERCUTANEOUS NEPHROSTOMY SET,225.28 
13210398,DRESSING PACKING NASAL   400403,44.57 
13210448,SUTURE CHROMIC ATRAM,15.54 
13210509,EVACUATOR ELLICK,55.91 
13210515,NEEDLE RETRACT SGL LUMEN   MW-122-1,38.85 
13210524,GUIDEWIRE AMPLATZ 180CM   46-519,182.12 
13210525,GUIDEWIRE AMPLATZ (145CM)   46-517,50.30 
13210527,SHEATH PERCUTANEOUS INTRO,229.85 
13210532,THREAD STABLILITY,38.85 
13210540,ENDOSHEARS,238.14 
13210552,URT BALLOON DIL KIT,724.82 
13210566,MESH SURGIPRO 3X5   SPM-35W,223.49 
13210567,MESH SURGIPRO 14X19,149.00 
13210568,ENDOBABCOCK,244.23 
13210572,ENDOSCOPIC NEEDLE HOLDER,"1,362.17 "
13210573,BLADE COLD KNIFE CONE,346.61 
13210574,VALVE ONE WAY,12.08 
13210581,CAP END,89.51 
13211432,RETRACTOR EDNOSCOPIC,440.58 
13216337,CAUTERY LOOP ROLLER,335.90 
13216339,STAPLER SKIN RELOAD,81.11 
13216345,CAUTERY TIP NEEDLEPOINT,17.33 
13216348,ACTIVE CORD RESECTOSCOPE,29.66 
13216351,FORCEP COLD BIOPSY,344.98 
13216359,ENDOGRASPER,176.14 
13216360,FORCEP SHARK RADIAL JAW COLD SDF-2.5230S,419.48 
13216361,DEFOGGER FRED ANTI FOG,67.99 
13216364,CAP REDUCER ENDO,51.19 
13216365,TROCAR LAPROSCOPE ETHICON,325.61 
13216370,GROUNDING PAD LEEP MACROLYTE ELECTRODE,30.82 
13216371,ELECTRODE LOOP,68.88 
13216372,ELECTRODE BALL UNIVERSAL E1550,5.25 
13216376,MAT SURGISAFE  COLBY   83630-2,26.67 
13216377,INFLATOR LEVEEN,204.12 
13216383,ELECTRODE BUGBY BUTTON 5FR 00108 OLYPMUS,370.23 
13216388,LITHOTRIPSY EQUIP,42.53 
13216389,DOPPLER,34.23 
13216392,TRACHIAL BRONCHIAL Y-STEN,"2,125.94 "
13230001,SPLINT OCL 4  PLASTER CASTING    2983-00,85.84 
13230005,ELECTRODE PACING DEFIB MULTIFUCT ZOLL,138.92 
13230011,TRU-CLOSE 600ML GRAVITY DRAIN BAG TC600L,46.37 
13230017,NEEDLE BIOPSY COAXIAL BARD 17 X 7.8,50.19 
13230031,GASTROGRAFIN   12X120ML  044540,2.00 
13230058,BARIUM ENEMA KIT   114316,39.69 
13230060,HYPAQUE 76% 200ML            H375,0.42 
13230061,CATH HIGH FLO TORCON COBRA  122378,64.31 
13230062,CATH SIM2 HIGH FLO TORCON ANGIO SIMMONS,69.46 
13230070,GREEN BIOPSY SET   118802,84.00 
13230072,NEEDLE BIOPSY BARD 18GA X10   121810,104.74 
13230073,NEEDLE BIOPSY BARD 18GA X20   121820,103.26 
13230074,NEEDLE BIOPSY BARD 20GA X16   122016,103.05 
13230078,HYPAQUE 50%                    H362,0.35 
13230079,OMNIPAQUE 300 50ML  PLUSPAK  Y-530,3.18 
13230087,OMNIPAQUE 350 100ML PLUSPAK  Y-542,3.18 
13230089,OMNIPAQUE 350 150ML PLUSPAK  Y-544,3.18 
13230600,LIFE PACK/ZOLL EXT PACE,545.27 
13231051,SUTURE PROLENE ANY GAUGE,21.63 
13231222,SET BLOOD WARMING BAXTER FENWAL 4C2480,52.87 
13250001,BINDER ABDOMEN  10  UNIVER  ORT21200,103.64 
13250004,PAD BLUE UNDER PAD    UFS-236,6.98 
13250005,SPONGE KERLIX GAUZE ROLL        NON25865,14.54 
13250009,TUBING CONNECTING SUCTION      DYND50223,21.00 
13250010,SYRINGE CATHETER TIP        309620,8.14 
13250011,DIAPER BARIATRIC              BARIFRIEFC,59.09 
13250022,PAD SANITARY PERI  NON241286,17.06 
13250023,SUPPORT SCROTAL MED 202262 / 201161,67.62 
13250024,CATHETER SUCTION 10            DYND40980,15.54 
13250025,STOCKING THIGH XXL REG   868-05,62.42 
13250027,SUPPORT SCROTAL DUKE  SM     201CS-S,7.53 
13250028,SUPPORT SCROTAL DUKE MED     201CS-M,7.53 
13250030,SYRINGE 60CC         309653,8.14 
13250033,BELT OSTOMY   175507,36.65 
13250034,ENEMA CLEANS                   DYND70100,16.17 
13250035,TUBE ENDOTRACHEAL 3.0     5-10106,68.15 
13250039,TUBE STOMACH 12 FR             DYND70482,19.74 
13250040,TUBE RECTAL                    DYND70110,22.68 
13250041,ROSS GAVAGE,27.25 
13250042,SUPPORT SCROTAL DUKE  LG     201CS-L,7.53 
13250043,SUPPORT SCROTAL DUKE XLG     201CS-XL,7.53 
13250045,SLING ARM LG                   MDT828164,58.59 
13250046,COLLAR CERVICAL SOFT MED   737-03,16.49 
13250048,SUPPORT LUMBAR   957,67.52 
13250049,KNOT PUSHER 6TH FINGER  AR-1930S,316.00 
13250050,BUCKS TRACTION UNIV   79-99890,85.05 
13250052,CERVICAL TRAC,126.32 
13250057,PAD ABD                         NON21450,17.90 
13250059,COBAN 4           1584,30.82 
13250060,DRESSING KLING 2                NON25496,8.77 
13250064,GAUZE VASELINE 1X8             CUR251180,7.25 
13250065,EYE PROTECTOR ANESTH  9-0210-00,16.28 
13250067,HOOK AMNI   9601,16.17 
13250069,PLUG CATHETER                  DYND12200,8.14 
13250070,TRAY CATH & PROCEDURE 15FR  774415,90.41 
13250071,TRAY CATH FOLEY 16FR          300316A,80.75 
13250073,CATH FOLEY 2 W 5CC 12FR         0165SI12,80.75 
13250074,CATH FOLEY 3 W 30cc 20FR       0167SI20,44.05 
13250076,BAG LEG URINE                DYND12574,55.65 
13250078,BAG URINARY DRAINAGE 2000ML  154004A,44.47 
13250079,STRAINER URINE   DYND4712,9.66 
13250081,CATH EXTERNAL MALE TEXAS CATH  DYND12301,12.08 
13250082,BAG DOUCHE                     DYND70130,21.79 
13250088,TRAY IRRIGATION                DYND20302,25.20 
13250089,TRAY LUMBAR PUNCTURE PEDS  4302C,105.05 
13250093,TRAY THORACENTESIS              4341B,176.51 
13250094,ELECTRODE HF BAND 24FR 12o     A22221C,416.50 
13250095,ELECTRODE HF BAND 26FR 12o      A22222C,416.50 
13250099,TRAY CIRCUMCISION,217.77 
13250100,GASTRIC LAVAGE,111.83 
13250110,SUTURE ETHIBOND 0                  CX41D,50.09 
13250114,BIOPSY INSTRUMENT BIOPINCE 18X10,146.66 
13250115,BIOPSY INSTRUMENT BIOPINCE 18X15,146.66 
13250116,NEEDLE BIOPSY CO-AXIAL 6.8CM MCXS1810BP,43.33 
13250117,NEEDLE BIOPSY CO-AXIAL 11.8CM MCXS1815BP,43.33 
13250119,SUTURE ETHIBOND EXCEL O X834H,8.39 
13250120,BLADE 3.5 SABRE           AR-8350ST,283.34 
13250122,SPEEDBRIDGE ACHILLES  AR-8928BC-CP,"7,906.00 "
13250125,FILTER SIMON-NITINOL   2120F,"3,820.16 "
13250126,DILATOR PYLORIC COLONIC 54FR 000849,336.00 
13250128,TRAY TRACHEOSTOMY PERC 8FR G12565,"1,288.00 "
13250129,EXPANDER BREAST IMPLANT,"4,900.00 "
13250130,TROCAR OPTICAL 12X100  CFR73,100.00 
13250131,TROCAR OPTICAL 11X100  CFR33,100.00 
13250133,TROCAR OPTICAL 5X100  CFR03,66.00 
13250135,TRAY TRACH CLEANSING  DYND40610,8.14 
13250136,"TUBE, JEJUNAL GASTRIC DECOMP     000319",217.00 
13250137,CATHETER TAUT  4.5R 18   20018-M55,166.00 
13250138,BIOPSY DEVICE SUPERCORE 18X9 701218090,128.73 
13250139,SUTURE TEVDEC II                  79-746,24.41 
13250141,GAUZE BOAT 4X4                  NON21426,9.56 
13250142,SUTURE VICRYL 2-0                  J428H,15.93 
13250143,PUTTY VIAGRAF 10CC          717905,"4,182.51 "
13250144,PIN THREADED GUIDE 3.2         71674029,454.02 
13250145,NAIL HINDFOOT 11.5 X 16       71701116R,"6,729.81 "
13250146,SCREW CAPTURED 5.0 X 60      71642260,534.66 
