BILL ITEM ID,LONG DESCRIPTION,CPT-4,HCPCS,REVENUE, TMMC Standard Price Schedule ,TMMC OP Lab Price Schedule
7914367,SCR TI 6MM 1.85MM MXLMNDB SLF 04.503.824.01,,C1713,278, $486.00 ,
7914370,SCR TI 6MM 1.55MM 2.65MM MDFC 04.503.236.01,,C1713,278, $342.00 ,
7914371,SCR TI 8MM 1.55MM 2.65MM MDFC 04.503.228.01,,C1713,278, $342.00 ,
7914377,SCR NON-LOCK 2.7X18MM 07-418,,C1713,278, $462.00 ,
7914378,PLT DISTAL FIBULA 80MM 08-380L,,C1713,278," $4,242.00 ",
7914379,SCR BONE 2MM 14MM DART-FIRE TI D1N20014S,,C1713,278, $705.00 ,
7914380,SCR BONE 4MM 38MM DART-FIRE SM D1N40038S,,C1713,278, $30.00 ,
7914524,AICD Visia AF MRI VR DF4 DVFB1D4,,C1722,278," $46,080.00 ",
7914525,AICD Visia AF VR DF4 DVAB1D4,,C1722,278," $42,750.00 ",
7914526,AICD Visia VR DF1 DVAB1D1,,C1722,278," $42,750.00 ",
7914527,AICD Amplia MRI CRT-D Quad  DTMB1QQ,,C1882,278," $60,063.00 ",
7914528,AICD Amplia MRI CRT-D DTMB1D4,,C1882,278," $60,063.00 ",
7914529,AICD Compia MRI CRT-D Quad DTMC1QQ,,C1882,278," $59,199.00 ",
7916011,Sheath Intro 16F DSL1628,,C1894,278, $846.00 ,
7916021,AICD Quadra Assura MP CD3369-40Q,,C1882,278," $58,695.00 ",
7916022,IMPLANT TOTAL KNEE VENDOR TJO,,,278," $15,150.00 ",
7919944,PIN FX 6MM ST/DRL THRD SHFT 5014-3-150S,,C1713,278, $701.00 ,
7919947,PIN FX 300MM 6MM 5MM APX HFMN2 5050-5-300,,C1713,278, $614.00 ,
7919951,CPLNG XTRNFX GRN HFMN2 8MM ROD 4921-1-010,,,278," $2,232.00 ",
7919952,ROD XTRNFX YLW 350MM 8MM HFMN2 5028-8-350,,,278," $1,241.00 ",
7919965,SCR BONE 6.5MM 8MM 125MM 32MM 217.125,,C1713,278, $139.00 ,
7920022,SCR BONE 3MM 38MM DART-FIRE SM D1N30038S,,C1713,278, $729.00 ,
7920023,SCR BONE 3.5MM 10MM NONLOCK 07-610,,C1713,278, $462.00 ,
7921979,PLT 1MM LAPIDUS 3DI ORTHOLOC 58510001,,C1713,278," $5,841.00 ",
7921980,SCR BONE 3.5MM 22MM ORTHOLOC 58813522,,C1713,278, $435.00 ,
7921984,SCR BONE 5MM 38MM TRGN TI HUM 71755038,,C1713,278, $874.00 ,
7921985,SCR BONE 5MM 36MM TRGN TI HUM 71755036,,C1713,278, $874.00 ,
