ACTIVITY TYPE,CDM_DESC, UNIT_AMT ,BILL_ITEM_ID
AFC GENERIC ADD-ON,LAB IMMUNOGLOBULIN G (IGG),$54.00 ,5239923
AFC GENERIC ADD-ON,LAB IMMUNOGLOBULIN M (IGM),$56.00 ,5239925
AFC GENERIC ADD-ON,LAB INFECTIOUS AGENTS,$30.00 ,5258224
AFC GENERIC ADD-ON,"LAB INFLUENZAE ANTIGEN, EACH",$53.00 ,5239936
AFC GENERIC ADD-ON,"LAB IRON BINDING CAPACITY, TOTAL",$32.00 ,5239928
AFC GENERIC ADD-ON,LAB ISOHEMAGGLUTININ TITER B,$36.00 ,5258383
AFC GENERIC ADD-ON,"LAB KAPPA/LAMBDA, FREE, L",$150.00 ,5239987
AFC GENERIC ADD-ON,LAB LDH,$24.00 ,5256407
AFC GENERIC ADD-ON,"LAB LDH,PANEL,OUT",$20.00 ,5239946
AFC GENERIC ADD-ON,LAB LEAD (PANEL),$38.00 ,5239974
AFC GENERIC ADD-ON,"LAB LEAD LEVEL, BLOOD",$42.00 ,5258371
AFC GENERIC ADD-ON,"LAB LEGIONELLA PNEUMO SEROGRP 2-6,8",$54.00 ,5239994
AFC GENERIC ADD-ON,LAB LIVER FIBROSIS PANEL-ALT(SGPT),$86.00 ,5256278
AFC GENERIC ADD-ON,LAB LIVER FIBROSIS PANEL-APOLIPOPROTEIN,$83.00 ,5256274
AFC GENERIC ADD-ON,LAB LIVER FIBROSIS PANEL-GGT,$86.00 ,5256277
AFC GENERIC ADD-ON,LAB LIVER FIBROSIS PANEL-HAPTOGLOBIN,$86.00 ,5256276
AFC GENERIC ADD-ON,LAB LIVER FIBROSIS PANEL-TOTAL BILIRUBIN,$85.00 ,5256275
AFC GENERIC ADD-ON,LAB LYME DISEASE ANTIBODY IGM,$59.00 ,5240000
AFC GENERIC ADD-ON,LAB LYME DZ AB IGM,$134.00 ,5281837
AFC GENERIC ADD-ON,LAB MAGNESIUM URINE,$33.00 ,5346314
AFC GENERIC ADD-ON,LAB MAT. SER. 4 (ESTRIOL)-L,$45.00 ,5240004
AFC GENERIC ADD-ON,LAB MAT. SER. 4 (HCG QUANT)-L,$20.00 ,5240005
AFC GENERIC ADD-ON,LAB MAT. SER. 4 (INHIBIN A)-L,$30.00 ,5240006
AFC GENERIC ADD-ON,LAB MERCURY (PANEL),$52.00 ,5239975
AFC GENERIC ADD-ON,"LAB MERCURY LEVEL, BLOOD",$50.00 ,5258372
AFC GENERIC ADD-ON,"LAB MICROSOMAL AB, PANEL",$36.00 ,5240026
AFC GENERIC ADD-ON,"LAB MOL CYTOGENICS, DNA PROBE EA",$138.00 ,5341324
AFC GENERIC ADD-ON,LAB MUCIN/ROPE TEST,$24.00 ,5240038
AFC GENERIC ADD-ON,"LAB MYCOBACTERIA TUBERCULOSIS COMPLEX, PCR",$212.00 ,5320324
AFC GENERIC ADD-ON,LAB MYCOBACTERIUM CULTURE SUSCEPTIBILITY,$26.00 ,5256616
AFC GENERIC ADD-ON,LAB MYCOPLASMA PNEU AB IGM,$62.00 ,5240011
AFC GENERIC ADD-ON,LAB MYELOPEROXIDASE AB,$60.00 ,5268757
AFC GENERIC ADD-ON,LAB MYOSITIS OJ AB,$156.00 ,5274217
AFC GENERIC ADD-ON,LAB MYOSITIS SRP AB,$61.00 ,5288405
AFC GENERIC ADD-ON,LAB MYOSITIS TIF-1Y AB,$83.00 ,5288409
AFC GENERIC ADD-ON,"LAB N. GONORRHOEAE RNA, TMA",$65.00 ,5256412
AFC GENERIC ADD-ON,LAB N-TELOPEPTIDE,$63.00 ,5239967
AFC GENERIC ADD-ON,LAB OLIGOCLONAL BINDING IMMUNOGLOB,$78.00 ,5240009
AFC GENERIC ADD-ON,LAB OXALATE URINE,$18.00 ,5346315
AFC GENERIC ADD-ON,LAB PARATHYROID HORMONE-INTACT CA,$39.00 ,5239930
AFC GENERIC ADD-ON,"LAB PARVOVIRUS B19 ANTIBODY,IGM-L",$55.00 ,5240014
AFC GENERIC ADD-ON,LAB PH BODY FLUID,$15.00 ,5240034
AFC GENERIC ADD-ON,LAB PHENOBURBIXAL (4000),$35.00 ,5239947
AFC GENERIC ADD-ON,LAB PHOSPHORUS URINE,$18.00 ,5346316
AFC GENERIC ADD-ON,LAB PLASMA RENIN ACTIVITY,$60.00 ,5326368
AFC GENERIC ADD-ON,"LAB PLATELET COUNT, PANEL",$34.00 ,5240031
AFC GENERIC ADD-ON,LAB POLIOVIRUS-POLIO 3 TITER,$94.00 ,5258209
AFC GENERIC ADD-ON,LAB POTASSIUM URINE,$18.00 ,5346317
AFC GENERIC ADD-ON,LAB PROTEIN C ACTIVITY,$54.00 ,5346710
AFC GENERIC ADD-ON,LAB PROTEIN TOTAL RANDOM URINE L,$14.00 ,5240016
AFC GENERIC ADD-ON,"LAB PROTEIN, SPINAL FLUID",$54.00 ,5240036
AFC GENERIC ADD-ON,"LAB PROTEIN, URINE L (IFE)",$10.00 ,5240015
AFC GENERIC ADD-ON,"LAB PSA, TOTAL L",$51.00 ,5240019
AFC GENERIC ADD-ON,"LAB PTT, PANEL",$54.00 ,5240029
AFC GENERIC ADD-ON,LAB PTT-LA,$54.00 ,5346712
AFC GENERIC ADD-ON,LAB Q Fever IgG Phase II,$46.00 ,5256815
AFC GENERIC ADD-ON,LAB R. TYPHI IGM,$35.00 ,5340998
AFC GENERIC ADD-ON,LAB Ribonucleoprotein Antibody,$49.00 ,5245605
AFC GENERIC ADD-ON,LAB Ribosomal P Antibody,$40.00 ,5245638
AFC GENERIC ADD-ON,"LAB ROCKY MT SPOTTED FEVER AB, IGM L",$36.00 ,5240021
AFC GENERIC ADD-ON,"LAB RVVT, DILUTED",$33.00 ,5239999
AFC GENERIC ADD-ON,LAB S.PNEUMONIAE IGG AB(SEROTYPES),$35.00 ,5240023
AFC GENERIC ADD-ON,LAB SACCHAROMYCES CEREVISIAE AB IGG,$58.00 ,5268760
AFC GENERIC ADD-ON,"LAB SALMONELLA H, TYPE A",$36.00 ,5340999
AFC GENERIC ADD-ON,LAB Sm Antibody,$64.00 ,5245606
AFC GENERIC ADD-ON,LAB Sm/RNP Antibody,$64.00 ,5245607
AFC GENERIC ADD-ON,LAB SODIUM URINE,$18.00 ,5346318
AFC GENERIC ADD-ON,LAB SRA/HEP IND PLT AB-L,$286.00 ,5239976
AFC GENERIC ADD-ON,LAB SS-A,$64.00 ,5245637
AFC GENERIC ADD-ON,LAB SS-B,$61.00 ,5240022
AFC GENERIC ADD-ON,LAB SULFATE URINE,$122.00 ,5346319
AFC GENERIC ADD-ON,"LAB T3, FREE",$54.00 ,5329433
AFC GENERIC ADD-ON,LAB T4/T8 COUNT/RATIO L,$91.00 ,5240003
AFC GENERIC ADD-ON,"LAB TESTOSTERONE, TOTAL, L",$64.00 ,5240024
AFC GENERIC ADD-ON,LAB TETANUS ANTITOXOID,$38.00 ,5264604
AFC GENERIC ADD-ON,LAB THYROGLOBULIN ANTIBODY,$45.00 ,5240025
AFC GENERIC ADD-ON,"LAB TISSUE TRANSGLUT AB, IGA - L",$45.00 ,5239965
AFC GENERIC ADD-ON,LAB TORCH CYTOMEGALOVIRUS IGM,$21.00 ,5314384
AFC GENERIC ADD-ON,LAB TORCH TOXOPLASMA AB,$21.00 ,5314387
AFC GENERIC ADD-ON,LAB TORCH TOXOPLASMA IGM,$21.00 ,5314388
AFC GENERIC ADD-ON,"LAB TOXOPLASMA ANTIBODY, IGM",$33.00 ,5240027
AFC GENERIC ADD-ON,LAB TRANSFERRIN LEVEL,$47.00 ,5318439
AFC GENERIC ADD-ON,LAB TRICHROME STAIN,$45.00 ,5240013
AFC GENERIC ADD-ON,"LAB TSH, PANEL (0162)- L",$46.00 ,5239935
AFC GENERIC ADD-ON,LAB URIC ACID URINE,$18.00 ,5346320
AFC GENERIC ADD-ON,LAB VARICELLA ZOSTER VIRUS DIRECT LUMMUNOFLUORES,$42.00 ,5329977
AFC GENERIC ADD-ON,LAB VISCOSITY,$45.00 ,5240041
AFC GENERIC ADD-ON,"LAB VITAMIN D, 1,25-DIHYDROXY (QUEST ASSURE D)",$89.00 ,5326369
AFC GENERIC ADD-ON,"LAB VOLUME MEASUREMENT, REF",$7.00 ,5239985
AFC GENERIC ADD-ON,LAB WEST NILE VIRUS IGM,$45.00 ,5268374
AFC GENERIC ADD-ON,LAB YEAST SENSITIVITY,$513.00 ,5256623
AFC GENERIC ADD-ON,"LABL IRON BINDING CAPACITY, TOTAL",$67.00 ,5318482
AFC GENERIC ADD-ON,"MM CANNULA, THREADED LOCK 303369",$2.00 ,5313643
AFC GENERIC ADD-ON,MM CIRCUMCISION PROCEDURE,"$2,141.00 ",5245297
AFC GENERIC ADD-ON,MM CIRCUMCISION SUPPLIES,$158.00 ,5183136
AFC GENERIC ADD-ON,MM SET CONTINU-FLO W/Y SITE & LL,$12.00 ,5313653
AFC GENERIC ADD-ON,PHOSPHATIDYLSERINE IGG AB,$33.00 ,5245528
AFC GENERIC ADD-ON,PHOSPHATIDYLSERINE IGM AB,$33.00 ,5245529
AFC GENERIC ADD-ON,RAD MM DX DIGITAL BREAST TOMOSYNTHESIS,$105.00 ,5324345
AFC GENERIC ADD-ON,RAD MM SCREEN DIGITAL BREAST TOMOSYNTHESIS BIL,$105.00 ,5324344
AFC GENERIC ADD-ON,RAD MM SCREEN DIGITAL BREAST TOMOSYNTHESIS LT,$105.00 ,5324343
AFC GENERIC ADD-ON,RAD MM SCREEN DIGITAL BREAST TOMOSYNTHESIS RT,$105.00 ,5324342
AFC GENERIC ADD-ON,RAD MRI COMPUTER-AIDED DETECTION,$16.00 ,5239990
AFC GENERIC ADD-ON,RAD XR BAR. SWALLOW PHARYNX/CERVICAL,$195.00 ,5239989
AFC GENERIC ADD-ON,Rh Type,$27.00 ,709638
AFC GENERIC ADD-ON,Rheum Chemotherapy SQ/IM Injection,$154.00 ,5334285
AFC GENERIC ADD-ON,Rheum Depo Medrol 20 mg,$60.00 ,5334305
AFC GENERIC ADD-ON,Rheum Depo Medrol 40 mg,$113.00 ,5334309
AFC GENERIC ADD-ON,Rheum Depo Medrol 80 mg,$140.00 ,5334313
