Item ID,Description, Price 
185874,18MM X 60MM X 16MM 6 LLIF CAGE,"14,400.00"
176403,19MM Z-LINK LUMBAR PLATE,"9,240.00"
175269,1-LEVEL 12 MM CERVICAL PLATE,"3,150.00"
175270,1-LEVEL 12 MM MIDLINE CERVICAL,"3,150.00"
175271,1-LEVEL 14 MM CERVICAL PLATE,"3,150.00"
175272,1-LEVEL 14 MM MIDLINE CERVICAL,"3,150.00"
175273,1-LEVEL 16 MM CERVICAL PLATE,"3,150.00"
175274,1-LEVEL 16 MM MIDLINE CERVICAL,"3,150.00"
175275,1-LEVEL 18 MM CERVICAL PLATE,"3,150.00"
175276,1-LEVEL 18 MM MIDLINE CERVICAL,"3,150.00"
175277,1-LEVEL 20 MM CERVICAL PLATE,"3,150.00"
175278,1-LEVEL 20 MM MIDLINE CERVICAL,"3,150.00"
175279,1-LEVEL 22 MM CERVICAL PLATE,"3,150.00"
175280,1-LEVEL 22 MM MIDLINE CERVICAL,"3,150.00"
175281,1-LEVEL 24 MM CERVICAL PLATE,"3,150.00"
175282,1-LEVEL 24 MM MIDLINE CERVICAL,"3,150.00"
175283,1-LEVEL 26 MM CERVICAL PLATE,"3,150.00"
175284,1-LEVEL 26 MM MIDLINE CERVICAL,"3,150.00"
131059,"1ST MCP FUSION PLATE, RIGHT","3,313.80"
175315,2 LEVEL PIRANHA CERVICAL PLATE,"3,570.00"
175316,2 LEVEL PIRANHA CERVICAL PLATE,"3,570.00"
175317,2 LEVEL PIRANHA CERVICAL PLATE,"3,570.00"
175318,2 LEVEL PIRANHA CERVICAL PLATE,"3,570.00"
175319,2 LEVEL PIRANHA CERVICAL PLATE,"3,570.00"
175320,2 LEVEL PIRANHA CERVICAL PLATE,"3,570.00"
175321,2 LEVEL PIRANHA CERVICAL PLATE,"3,570.00"
175322,2 LEVEL PIRANHA CERVICAL PLATE,"3,570.00"
175323,2 LEVEL PIRANHA CERVICAL PLATE,"3,570.00"
175324,2 LEVEL PIRANHA CERVICAL PLATE,"3,570.00"
410461,2% LIDOCAINE 20ML WITH 0.5% BUPIVICAINE 20ML,250.6
193201,2.0MM LOCATING PIN,"1,040.00"
193200,2.0MM PILOT DRILL,"1,057.50"
