2019 Detailed Line Item,
 $36.90 ,ARIPIPRAZOLE 2 MG TABLET [85655]
 $52.18 ,ARIPIPRAZOLE 30 MG TABLET [52493]
 $33.09 ,ARIPIPRAZOLE 5 MG TABLET [53505]
 $5.00 ,"ARIPIPRAZOLE ER 400 MG SUSPENSION, EXTENDED REL.INTRAMUSCULAR SYRINGE [145939]"
 $947.41 ,"ARIPIPRAZOLE LAUROXIL ER 882 MG/3.2 ML SUSPENSION, EXT.REL. IM SYRINGE [149385]"
 $114.50 ,ARMSTRONG BEVELED VENT 140242
 $299.00 ,Arsenic level
 $113.50 ,Arterial puncture withdrawal of blood for diagnosis
 $0.04 ,ASCORBIC ACID (VITAMIN C) 500 MG TABLET [5289]
 $24.84 ,ASENAPINE 5 MG SUBLINGUAL TABLET [113444]
" $1,332.75 ",ASP/INJ RENAL CYST/PELVIS
 $304.50 ,Aspiration and/or injection of cysts
 $720.00 ,Aspiration and/or injection of intermediate joint or joint capsule with recording and reporting using ultrasound guidance
 $582.75 ,Aspiration and/or injection of large joint or joint capsule
 $450.00 ,Aspiration and/or injection of major joint or joint capsule with recording and reporting using ultrasound guidance
 $370.50 ,Aspiration and/or injection of medium joint or joint capsule
 $520.75 ,Aspiration and/or injection of small joint or joint capsule
 $450.00 ,Aspiration and/or injection of small joint or joint capsule with recording and reporting using ultrasound guidance
 $892.00 ,Aspiration and/or injection of thyroid cyst
 $375.00 ,"Aspiration of abscess, blood accumulation, blister, or cyst"
" $4,785.75 ",Aspiration of bladder with insertion of bladder tube to skin surface
" $1,543.50 ",Aspiration of fluid from sac that covers the heart
 $10.80 ,"ASPIRIN 25 MG-DIPYRIDAMOLE 200 MG CAPSULE,EXT.RELEASE 12 HR MULTIPHASE [44176]"
 $1.51 ,ASPIRIN 300 MG RECTAL SUPPOSITORY [10039]
 $0.06 ,ASPIRIN 325 MG TABLET [5278]
 $0.01 ,"ASPIRIN 325 MG TABLET,DELAYED RELEASE [5455]"
 $0.02 ,ASPIRIN 81 MG CHEWABLE TABLET [31359]
 $0.01 ,"ASPIRIN 81 MG TABLET,DELAYED RELEASE [30082]"
