CDM,Description,Standard Charge,Surgery Center/Procedure Room Charge,L&D Charge,Supply Charge Range
2459112200,HB  VAD PERFUSION HOURS 22.00," $18,580.00 ",,,
2459112300,HB  VAD PERFUSION HOURS 23.00," $18,970.00 ",,,
2459112400,HB  VAD PERFUSION HOURS 24.00," $19,360.00 ",,,
2500115300,HB  RESEARCH GRANT-CHARGE PER HOUR 2007, $150.00 ,,,
2500115900,HB  RESEARCH GRANT MEDICATION, $1.00 ,,,
25300130,HB  ALLERGY SCRATCH TEST MEDS BIOL 1-5, $57.00 ,,,
25300131,HB  ALLERGY SCRATCH TEST MEDS BIOL 1-5, $57.00 ,,,
25300132,HB  ALLERGY SCRATCH TEST MEDS BIOL 6-10, $57.00 ,,,
25300133,HB  ALLERGY SCRATCH TEST MEDS BIOL 6-10, $57.00 ,,,
25300140,HB  ALLERGTEST INTRADERMAL MEDS BIOL 1-5, $400.00 ,,,
25300141,HB  ALLERGTEST INTRADERMAL MEDS BIOL 6-10, $400.00 ,,,
25300142,HB  ALLERGTEST INTRADERMAL MEDS BIOL 11-15, $400.00 ,,,
25300143,HB  ALLERGTEST INTRADERMAL MEDS BIOL 16+, $400.00 ,,,
2541957700,HB  CONTRAST MULTIHANCE PER ML, $10.00 ,,,
2541969800,HB  CONTRAST NONRADIOACTIVE IMAG MAT/STUDY ETHIODOL, $100.00 ,,,
2541969801,HB  CONTRAST NONRADIOACTIVE IMAG MAT/STUDY TAGITOL V BARIUM 20ML, $90.00 ,,,
2541969802,HB  CONTRAST NONRADIOACTIVE IMAG MAT/STUDY BIOTRACE BARIUM 50ML, $300.00 ,,,
2548995700,HB PERFLUTREN LIPID MICROSPHERE PER ML, $410.00 ,,,
2548995800,HB  CONTRAST CONRAY 30 PER ML, $1.00 ,,,
2548995801,HB  CONTRAST HYPAQUE PER ML, $1.00 ,,,
2548996000,HB  CONTRAST ISOVUE-M 200 PER ML, $20.00 ,,,
2548996100,HB  CONTRAST CONRAY 60 PER ML, $1.00 ,,,
2548996101,HB  CONTRAST CHOLOGRAFIN PER ML, $5.00 ,,,
2548996102,HB  CONTRAST RENOGRAFIN PER ML, $20.00 ,,,
2548996200,HB  CONTRAST ISOVUE-M 300 PER ML, $20.00 ,,,
2548996700,HB  CONTRAST OMNIPAQUE 350 PER ML, $2.00 ,,,
2548996701,HB  CONTRAST VISIPAQUE 320 PER ML, $2.00 ,,,
2548996702,HB  CONTRAST ISOVUE 300 PER ML, $5.00 ,,,
2551957900,HB  CONTRAST PROHANCE 20ML VIAL, $350.00 ,,,
2551958100,HB  CONTRAST GADOXETATE PER ML, $50.00 ,,,
2551958300,HB  CONTRAST GADOFOSVESET PER ML, $50.00 ,,,
2551958500,HB  CONTRAST GADOBUTROL GADAVIST PER 0.1ML, $50.00 ,,,
