"Description                             ","Price     "
"STENT URETERAL POLARIS 5 X 22           ","    612.50"
"STENT URETERAL POLARIS 5 X 24           ","    612.50"
"STENT URETERAL POLARIS 6 X 24 M006192132","    559.51"
"STENT URETERAL POLARIS 6 X 22           ","    559.51"
"STENT URETERAL POLARIS 6 X 26 M006192133","    559.51"
"PACK SCREW W/DRIVER BIT 42MM 20801200003","    262.50"
"SENSOR TISSUE 20801200002 (CROSS TO 61-9","   1011.50"
"SENSOR TISSUE 20801200001(CROSSS TO 61-9","   1011.50"
"PROBE STIMULATOR MONOPOLAR              ","    378.70"
"NEEDLE ROTATOR CUFF DISPOSER PAK        ","     16.14"
"TISSEEL FROZEN                          ","   1836.38"
"DRAPE STERI-DRAPE 2 SURG 19 X 17 IN OD M","     12.67"
"MESH ST VENTRIO EX LRG OVAL 8.7 X 10.7  ","   5135.20"
"MESH ST VENTRIO EX LRG OVAL 10.8 X 13.7 ","   6483.75"
"MESH ST VENTRALIGHT 8 X 10 (20.3CMX25.4C","   4020.10"
"MESH ST VENTRIO LG OVAL 5.4 X 7.0 (13.8C","   3327.10"
"MESH VENTRALIGHT S/T 6 X 10 OVAL 5954610","   3112.20"
"MESH VENTRIO LG CIRCLE 4.5 CIRCLE DIAMET","   1996.40"
"MESH VENTRIO MIDLINE 6.1 X 10.1 5950060 ","   5479.95"
"STEINMAN PIN 3/16 1617-56-000           ","     84.00"
"STEINMAN PIN 1/8 1614-58-000            ","     84.00"
"STEINMAN PIN 7/64 1613-58-000           ","     84.00"
"PIN 3/16 X 9 BAYONET STEINMAN 1637-18-00","     63.00"
"PIN 5/32 X 9 BAYONET STEINMAN 1636-18-00","     63.00"
"PIN 9/64 X 9 BAYONET STEINMAN  1635-18-0","     70.60"
"PIN 1/8 X 9 BAYONET STEINMAN 1634-18-000","     63.00"
"PACK BASIC VITRECTOMY AS14852-01 (USE PM","    344.47"
"DRILL BIT LEGEND 8CMX1.1MM TAPERED 8TA11","    269.81"
"PIN 7/64 X 9 BAYONET STEINMAN 1633-18-00","     55.41"
"PIN 3/32 X 9 BAYONET STEINMAN 1632-18-00","     64.16"
"PIN 5/64 X 9 BAYONET STEINMAN 1631-18-00","     49.00"
"BAYONET K-WIRE .045 1605-14-000         ","     37.91"
"BAYONET K-WIRE .035 1603-14-000         ","     37.91"
"K WIRE .062 X 9 THR BAYONET             ","     84.00"
"ELECTRODE SUBDERMAL PAIRED              ","    409.50"
"KIT FEMORAL BONE CEMENT PREP            ","    316.16"
"CANNULA KII ADVANCED FIXATION 5MMX100MM ","     28.00"
"SEALER AQUAMANTYS BIPOLAR  MALLEABLE 23-","   2042.25"
"TOOL MIDAS REX 10OV40                   ","    472.68"
"GOWN SMART XL/X-LONG (16/CS)   32474    ","     14.14"
"BLADE SAW STRYKER                       ","    157.05"
"MARKER PASSIVE                          ","    213.75"
"ENSEAL PTC 25CM                         ","   1180.80"
"TOOL 7BA20 MIDAS REX                    ","    408.80"
"TOOL 7BA40D MIDAS REX                   ","    444.57"
"FORCEP ADSON BIPOLAR-DISPOSABLE         ","     66.71"
"BURR MIDAS REX 10BA60                   ","    477.79"
"BURR MIDAS REX 10BA20                   ","    436.91"
"BURR MIDAS REX 10BA30                   ","    436.91"
"LAPAROSCOPIC MORCHELLATOR DISP(REP.DV001","   2304.51"
"BLADE SAGITTAL STRYKER SYSTEM 6         ","    194.36"
"GLOVES EXAM PF LF                       ","     46.10"
"SYSTEM SORBAFIX ABSORBABLE FIXATION 0113","   1004.85"
"NAVIGATOR 11/13 X 36CM M0062502020      ","    441.21"
"NAVIGATOR 11/13 X 46CM 250-204          ","    441.21"
"TOOL MIDAS REX 14BA40D                  ","    554.44"
"WIRE MOVABLE PTFE 035 CORE(CYSTO)       ","     58.52"
"K-WIRE DOUBLE DIAMOND                   ","      8.47"
"K-WIRE  DOUBLE DIAMOND                  ","      8.47"
"BLADE TURBO WISKER 4.5                  ","    163.80"
"SET O.A.T.S.                            ","   1746.50"
"WASHER MITEK                            ","   1725.15"
"K WIRE 045 X 9 THR BAYONET              ","     84.00"
"K WIRE 035 X 9 THR BAYONET              ","     84.00"
"CATHETER EMBOLECTOMY 6 FR. THRU-LUMEN   ","    294.00"
"DEVICE ENSEAL TRIO 35CM CURVED SAW NSLG2","   1577.66"
