Procedure Code,Procedure Desc,Procedure Effective Date,Charge Category,Charge Dept ID,Charge Dept Name,Charges,
37739861,OR HIP TOTAL MDM X3 MOP STRY,01/10/2017,278,10.44210,HMA REV-GENERAL SURGERY,20213.21,
37739862,OR XCORE M TOP LRD 15/12/12/7D,01/10/2017,278,10.44210,HMA REV-GENERAL SURGERY,5188.79,
37739863,OR XCORE MINI CORE 12/42-74MM,01/10/2017,278,10.44210,HMA REV-GENERAL SURGERY,16453.55,
37739864,OR PLATE HELIX R AC 4LVL 90MM,01/10/2017,278,10.44210,HMA REV-GENERAL SURGERY,4042.64,
37739865,OR SC VUEPOINT II MA 3.5X10,01/10/2017,278,10.44210,HMA REV-GENERAL SURGERY,4349.22,
37739866,OR SC VUEPOINT II MA 4.0X22,01/10/2017,278,10.44210,HMA REV-GENERAL SURGERY,4349.22,
37739867,OR SC VUEPOINT II MA 4.0X32,01/10/2017,278,10.44210,HMA REV-GENERAL SURGERY,4349.22,
37739868,OR ANNULOPLSTY RING SIM ADJ 27,01/10/2017,278,10.44210,HMA REV-GENERAL SURGERY,11025.39,
37739869,TS VALVE AORTIC CRYO 21MM/8CM,01/10/2017,812,10.44210,HMA REV-GENERAL SURGERY,12230,
37739870,OR PLATE SKYLINE AC 2 LVL 30MM,01/10/2017,278,10.44210,HMA REV-GENERAL SURGERY,4101.45,
37739871,OR PLATE SKYLINE AC 2 LVL 32MM,01/10/2017,278,10.44210,HMA REV-GENERAL SURGERY,4101.45,
37739872,OR MATRSTM SURG MTRX + 10X10CM,01/10/2017,278,10.44210,HMA REV-GENERAL SURGERY,9812.6,
37739873,OR STENT VISI-PRO 10MMX17MMX80,01/10/2017,278,10.44700,HMA REV-MED SUP CHG PT,4961.43,
37739874,OR GENERATOR ACCOLADE DR IS-1,01/10/2017,275,10.44210,HMA REV-GENERAL SURGERY,17217.98,
37739875,OR TISSUE EXPANDER 133SV-13-T,01/10/2017,278,10.44210,HMA REV-GENERAL SURGERY,7142.41,
37739876,OR EXT FIXATOR PELVIS,01/10/2017,270,10.44210,HMA REV-GENERAL SURGERY,0,
37739877,OR HEAD RADIAL 28 COCR 14.0 ST,01/10/2017,278,10.44210,HMA REV-GENERAL SURGERY,6367.16,
37739878,OR TISSUE EXPANDER 133SV-14-T,01/10/2017,278,10.44210,HMA REV-GENERAL SURGERY,7142.41,
37739879,OR PACEMAKER SYS ACCOLADE DR,01/10/2017,275,10.44210,HMA REV-GENERAL SURGERY,19165.8,
37739880,CORE XCOR2 TI XPND 18X20-25,01/10/2017,278,10.44210,HMA REV-GENERAL SURGERY,21290.03,
37739881,OR CORE XCOR2 TI XPND 16X26-41,01/10/2017,278,10.44210,HMA REV-GENERAL SURGERY,21290.03,
37739882,OR CORE XCOR2 TI XPND 18X28-41,01/10/2017,278,10.44210,HMA REV-GENERAL SURGERY,21290.03,
37739883,OR PL TRANSVERSE SZ 55 FIXED,01/10/2017,278,10.44210,HMA REV-GENERAL SURGERY,15042.31,
37739884,OR ENDCAP XCOR2 TI 18X18X30 4D,01/10/2017,278,10.44210,HMA REV-GENERAL SURGERY,5196.64,
37739885,OR INSRT PS LGN HF XLPE 3-4 11,01/10/2017,278,10.44210,HMA REV-GENERAL SURGERY,7347.5,
37739886,OR LOOP RECORDER CONFIRM ICM,01/10/2017,278,10.44210,HMA REV-GENERAL SURGERY,16830.63,
37739887,OR ENDCAP XCORE2 16X16X30 0D,01/10/2017,278,10.44210,HMA REV-GENERAL SURGERY,5196.64,
37739888,OR ENDCAP XCORE2 16X16X40 0D,01/10/2017,278,10.44210,HMA REV-GENERAL SURGERY,5196.64,
37739889,OR ENDCAP XCORE2 16X16X40 4D,01/10/2017,278,10.44210,HMA REV-GENERAL SURGERY,5196.64,
37739890,OR PL 2.7 VAL CALCANL LG/70/RT,01/10/2017,278,10.44210,HMA REV-GENERAL SURGERY,4018.39,
37739891,OR SCREW CORT FIX VIPR 8.0X55,01/10/2017,278,10.44210,HMA REV-GENERAL SURGERY,4388.55,
37739892,OR SHELL TRI HEM CLSTR HLE 50D,01/10/2017,278,10.44210,HMA REV-GENERAL SURGERY,6832.07,
37739893,OR SHELL TRI HEM CLSTR HLE 58F,01/10/2017,278,10.44210,HMA REV-GENERAL SURGERY,6832.07,
37739894,OR SHELL TRI HEM CLSTR HLE 60F,01/10/2017,278,10.44210,HMA REV-GENERAL SURGERY,6832.07,
37739895,OR LINER MDM NON-CMNT 38D,01/10/2017,278,10.44210,HMA REV-GENERAL SURGERY,6019.86,
37739896,OR LINER MDM NON-CMNT 42E,01/10/2017,278,10.44210,HMA REV-GENERAL SURGERY,6019.86,
37739897,OR LINER MDM NON-CMNT 48G,01/10/2017,278,10.44210,HMA REV-GENERAL SURGERY,6019.86,
37739898,OR KNEE TTL VSN/OX 71704566 SN,01/10/2017,278,10.44210,HMA REV-GENERAL SURGERY,21363.52,
