"Report Date: January 3, 2019",,,
Hospital Name: Providence Kodiak Island Medical Center,,,
Chargemaster for CMS Pricing Transparency - Procedures,,,
"Hospital Charges include hospital services, pharmaceuticals and supply items necessary to treat patients.  ",,,
"This is a snapshot of the Chargemaster at a point in time, and is subject to change.",,,
These items are represented on separate tabs.,,,
Supply prices may vary based on manufacturer's cost to hospital. ,,,
"Drug prices may vary based on dosage, supplier's availability and cost to hospital.",,,
HOSPITAL SYSTEM CHARGE CODE,CHARGE DESCRIPTION,AVERAGE UNIT PRICE (INPATIENT),AVERAGE UNIT PRICE (OUTPATIENT)
Px00044010024,HC SPEECH/HEARING THERAPY - GRP,$134.00,$134.00
Px00044010042,HC ORAL FUNCTION THERAPY,$396.00,$396.00
Px00044010050,HC ORAL SPEECH DEVICE EVAL,$609.00,$609.00
Px00044010051,HC EVAL FOR NONSPEECH DEVICE RX,$609.00,$609.00
Px00044010068,HC Use of speech device service - Com,$214.00,$214.00
Px00044010076,HC DEVELOPMENTAL TEST LIM,$426.00,$426.00
Px00044010083,HC COGNITIVE TEST BY HC PRO PER HR,$513.00,$513.00
Px00044010096,HC CONFERENCE LIMITED,$132.00,$132.00
Px00044410022,HC EX FOR SPEECH DEVICE RX 1HR,$554.00,$554.00
Px00044410025,HC EX FOR SPEECH DEVICE RX EA ADDL 30 MIN,$180.00,$180.00
Px00044410026,HC EVALUATE SWALLOWING FUNCTION,$559.00,$559.00
Px00044410043,HC MOTION FLUOROSCOPY/SWALLOW,"$1,257.00","$1,257.00"
Px00044410054,HC ENDOSCOPY SWALLOW TST (FEES),$840.00,$840.00
Px00097510018,HC PR RMVL DEVITAL TIS 20 CM/< - FULL,$293.00,$293.00
Px00098210021,RMVL DEVITAL TIS ADDL 20 CM<,$227.00,$227.00
Px00098310104,EAR AND THROAT EXAMINATION,$726.00,$726.00
Px00040210142,HC US ABD AORTA SCRN AAA,"$1,108.00","$1,108.00"
Px00040110023,HC DX MAMMO INCL CAD UNI,$392.00,$392.00
Px00040110024,HC DX MAMMO INCL CAD BI,$585.00,$585.00
Px00040310012,HC SCREEN MAMMO BI INCL CAD,$590.00,$590.00
Px00030114380,"HC DRUG TEST PRSMV OPTICAL INSTRMNT, PER DOS",$97.00,$97.00
Px00030114381,"HC DRUG TEST PRSMV CHEM ANLYZR, PER DOS",$102.00,$102.00
Px00030114382,"HC DRUG TEST PRSMV CHEM ANLYZR, ACETAMINOPHEN, PER DOS",$107.00,$107.00
Px00030114383,"HC DRUG TEST PRSMV CHEM ANLYZR, ALCOHOL, PER DOS",$120.00,$120.00
Px00030114384,"HC DRUG TEST PRSMV CHEM ANLYZR, AMPHETAMINES, PER DOS",$93.00,$93.00
Px00030114385,"HC DRUG TEST PRSMV CHEM ANLYZR, BARBITURATES, PER DOS",$91.00,$91.00
Px00030114386,"HC DRUG TEST PRSMV CHEM ANLYZR, BENZODIAZEPINE, PER DOS",$91.00,$91.00
Px00030114388,"HC DRUG TEST PRSMV CHEM ANLYZR, COCAINE, PER DOS",$91.00,$91.00
Px00030114389,"HC DRUG TEST PRSMV CHEM ANLYZR, CORDSTAT, PER DOS",$357.00,$357.00
Px00030114391,"HC DRUG TEST PRSMV CHEM ANLYZR, MECONIUM, PER DOS",$306.00,$306.00
Px00030114392,"HC DRUG TEST PRSMV CHEM ANLYZR, METH, PER DOS",$68.00,$68.00
Px00030114393,"HC DRUG TEST PRSMV CHEM ANLYZR, METHADONE, PER DOS",$97.00,$97.00
Px00030114394,"HC DRUG TEST PRSMV CHEM ANLYZR, NICOTINE, PER DOS",$160.00,$160.00
Px00030114400,"HC DRUG TEST PRSMV CHEM ANLYZR, OPIATES, PER DOS",$91.00,$91.00
Px00030114401,"HC DRUG TEST PRSMV CHEM ANLYZR, PCP, PER DOS",$65.00,$65.00
Px00030114403,"HC DRUG TEST PRSMV CHEM ANLYZR, SALICYLATE, PER DOS",$107.00,$107.00
Px00030114405,"HC DRUG TEST PRSMV CHEM ANLYZR, THC, PER DOS",$91.00,$91.00
Px00030114406,"HC DRUG TEST PRSMV CHEM ANLYZR, TRICYCLICS, PER DOS",$107.00,$107.00
Px00030114407,HC TESTOSTERONE BIOAVAILABLE,$51.00,$51.00
Px00042410066,HC PT EVALUATION LOW COMPLEX,$435.00,$435.00
Px00042410067,HC PT EVALUATION  MOD COMPLEX,$435.00,$435.00
Px00042410068,HC PT EVALUATION HIGH COMPLEX,$435.00,$435.00
Px00042410069,HC PT RE-EVALUATION ESTABLISHED PLAN OF CARE,$393.00,$393.00
Px00043410045,HC OT EVALUATION LOW COMPLEX,$435.00,$435.00
Px00043410046,HC OT EVALUATION MOD COMPLEXITY,$435.00,$435.00
Px00043410047,HC OT EVALUATION HIGH COMPLEX,$435.00,$435.00
Px00043410048,HC OT RE-EVALUATION ESTABLISHED PLAN OF CARE,$393.00,$393.00
Px00098110144,HC PR MOD SED SAME PHYS/QHP <5YRS 1ST 15 MIN,$390.00,$390.00
Px00045010161,HC MOD SED SAME PHYS/QHP <5 YRS 1ST 15 MIN,$652.00,$652.00
Px00098110145,HC PR MOD SED SAME PHYS/QHP 5/>YRS 1ST 15 MIN,$390.00,$390.00
Px00045010164,HC MOD SED SAME PHYS/QHP 5/>YRS 1ST 15 MIN,$652.00,$652.00
Px00098110146,HC PR MOD SED SAME PHYS/QHP EA ADDL 15 MIN,$116.00,$116.00
Px00045010167,HC MOD SED SAME PHYS/QHP EA ADDL 15 MIN,$192.00,$192.00
Px00098110149,HC PR MOD SED OTH PHYS/QHP 5/>YRS 1ST 15 MIN,$390.00,$390.00
Px00045010177,HC MOD SED OTH PHYS/QHP 5/>YRS 1ST 15 MIN,$652.00,$652.00
Px00096310270,HC PR INJ INTERLAMINAR LMBR/SAC W/O IMG,$568.00,$568.00
Px00036114054,HC INJ INTERLAMINAR LMBR/SAC W/O IMG,"$1,462.00","$1,462.00"
Px00098110147,HC PR MOD SED OTH PHYS/QHP <5 YRS 1ST 15 MIN,$390.00,$390.00
Px00045010180,HC MOD SED OTH PHYS/QHP <5 YRS 1ST 15 MIN,$652.00,$652.00
Px00098110148,HC PR MOD SED OTHER PHYS/QHP EA ADDL 15 MIN,$116.00,$116.00
Px00045010183,HC MOD SED OTHER PHYS/QHP EA ADDL 15 MIN,$192.00,$192.00
Px00098110953,HC PR LYSE CHEST FIBRIN INIT DAY,$469.00,$469.00
Px0000L138809,HC TUBING INFUSER LEVEL 1,$498.00,$498.00
Px00037010016,HC ANESTHESIA BLOCK IN L&D^,$942.00,$942.00
Px00096310010,ANESTH COLLAR BONE BIOPSY,$20.00 | $906.42,$20.00 | $906.42
Px00096310012,HC PR 00752 ANESTH REPAIR OF HERNIA VENTRIL &INCISION  QZ,"$20.00 | $1,812.85","$20.00 | $1,812.85"
Px00096310023,ANESTH HEAD/NECK/PTRUNK,"$20.00 | $1,510.70","$20.00 | $1,510.70"
Px00096310024,ANESTH NECK ORGAN 1 & OVER,"$20.00 | $1,812.85","$20.00 | $1,812.85"
Px00096310025,ANESTH BIOPSY OF THYROID,$20.00 | $906.42,$20.00 | $906.42
Px00096310026,ANESTH NECK VESSEL SURGERY,"$20.00 | $3,021.41","$20.00 | $3,021.41"
Px00096310027,HC PR 00352 ANESTH NECK VESSEL SURGERY,"$20.00 | $1,510.70","$20.00 | $1,510.70"
Px00096310028,ANESTH SKIN EXT/PER/ATRUNK,$20.00 | $906.42,$20.00 | $906.42
Px00096310030,ANESTH SURGERY OF BREAST,"$20.00 | $1,510.70","$20.00 | $1,510.70"
Px00096310031,ANESTH SURGERY OF BREAST,"$20.00 | $3,927.82","$20.00 | $3,927.82"
Px00096310032,ANESTH CORRECT HEART RHYTHM,"$20.00 | $1,208.56","$20.00 | $1,208.56"
Px00096310033,ANESTH SURGERY OF SHOULDER,"$20.00 | $1,510.70","$20.00 | $1,510.70"
Px00096310035,ANESTH REMOVAL OF RIB,"$20.00 | $1,812.85","$20.00 | $1,812.85"
Px00096310036,ANESTH CHEST WALL REPAIR,"$20.00 | $3,021.41","$20.00 | $3,021.41"
Px00096310039,ANESTH CHEST PROCEDURE,"$20.00 | $1,812.85","$20.00 | $1,812.85"
Px00096310040,ANESTH CHEST LINING BIOPSY,"$20.00 | $1,208.56","$20.00 | $1,208.56"
Px00096310041,ANESTH CHEST DRAINAGE,"$20.00 | $1,208.56","$20.00 | $1,208.56"
Px00096310042,ANESTH CHEST PARTITION VIEW,"$20.00 | $2,417.12","$20.00 | $2,417.12"
Px00096310043,ANESTH CHEST PARTITION VIEW,"$20.00 | $3,323.54","$20.00 | $3,323.54"
Px00096310045,ANESTH VASCULAR ACCESS,"$20.00 | $1,208.56","$20.00 | $1,208.56"
Px00096310047,ANESTH CHEST SURGERY,"$20.00 | $3,625.68","$20.00 | $3,625.68"
Px00096310048,ANESTH ONE LUNG VENTILATION,"$20.00 | $4,532.10","$20.00 | $4,532.10"
Px00096310049,ANESTH RELEASE OF LUNG,"$20.00 | $4,532.10","$20.00 | $4,532.10"
Px00096310050,ANESTH LUNG CHEST WALL SURG,"$20.00 | $4,532.10","$20.00 | $4,532.10"
Px00096310051,ANESTH TRACHEA BRONCHI SURG,"$20.00 | $5,136.38","$20.00 | $5,136.38"
Px00096310052,ANESTH SPINE CORD SURGERY,"$20.00 | $2,417.12","$20.00 | $2,417.12"
Px00096310053,ANESTH LUMBAR PUNCTURE,"$20.00 | $1,208.56","$20.00 | $1,208.56"
Px00096310054,ANESTH SPINE MANIPULATION,$20.00 | $906.42,$20.00 | $906.42
Px00096310055,ANESTH ABDOMINAL WALL SURG,"$20.00 | $1,208.56","$20.00 | $1,208.56"
Px00096310056,ANESTH FOR LIVER BIOPSY,"$20.00 | $1,208.56","$20.00 | $1,208.56"
Px00096310057,ANESTH ABDOMINAL WALL SURG,"$20.00 | $1,510.70","$20.00 | $1,510.70"
Px00096310059,ANESTH REPAIR OF UPPER HERNIA,"$20.00 | $1,208.56","$20.00 | $1,208.56"
Px00096310060,ANESTH REPAIR OF HERNIA VENTRIL &INCISION,"$20.00 | $1,812.85","$20.00 | $1,812.85"
Px00096310061,ANESTH REPAIR OF HERNIA OMPHALOCELE,"$20.00 | $2,114.98","$20.00 | $2,114.98"
Px00096310062,ANESTH REPAIR OF HERNIA OMPHALOCELE,"$20.00 | $2,114.98","$20.00 | $2,114.98"
Px00096310063,ANESTH BLOOD VESSEL REPAIR,"$20.00 | $4,532.10","$20.00 | $4,532.10"
Px00096310064,ANESTH SURG UPPER ABDOMEN,"$20.00 | $2,114.98","$20.00 | $2,114.98"
Px00096310065,ANESTH HEMORR/EXCISE LIVER,"$20.00 | $3,927.82","$20.00 | $3,927.82"
Px00096310066,ANESTH PANCREAS REMOVAL,"$20.00 | $2,417.12","$20.00 | $2,417.12"
Px00096310068,ANESTH ABDOMINAL WALL SURG,"$20.00 | $1,208.56","$20.00 | $1,208.56"
Px00096310071,ANESTH ABDOMINAL WALL SURG,"$20.00 | $1,510.70","$20.00 | $1,510.70"
Px00096310072,ANESTH REPAIR OF INGUINAL HERNIA,"$20.00 | $1,208.56","$20.00 | $1,208.56"
Px00096310073,ANESTH REPAIR OF HERNIA VENTRI&INCISION,"$20.00 | $1,812.85","$20.00 | $1,812.85"
Px00096310074,ANESTH HERNIA REPAIR < 1 YR,"$20.00 | $1,510.70","$20.00 | $1,510.70"
Px00096310075,ANESTH SURG LOWER ABDOMEN,"$20.00 | $1,812.85","$20.00 | $1,812.85"
Px00096310076,ANESTH PELVIS SURGERY,"$20.00 | $2,114.98","$20.00 | $2,114.98"
Px00096310077,HC PR ANESTH HYSTERECTOMY,"$20.00 | $2,417.12","$20.00 | $2,417.12"
Px00096310079,ANESTH TUBAL LIGATION,"$20.00 | $1,812.85","$20.00 | $1,812.85"
