"Report Date: January 3, 2019",,,
Hospital Name: Providence Kodiak Island Medical Center,,,
Chargemaster for CMS Pricing Transparency - Procedures,,,
"Hospital Charges include hospital services, pharmaceuticals and supply items necessary to treat patients.  ",,,
"This is a snapshot of the Chargemaster at a point in time, and is subject to change.",,,
These items are represented on separate tabs.,,,
Supply prices may vary based on manufacturer's cost to hospital. ,,,
"Drug prices may vary based on dosage, supplier's availability and cost to hospital.",,,
HOSPITAL SYSTEM CHARGE CODE,CHARGE DESCRIPTION,AVERAGE UNIT PRICE (INPATIENT),AVERAGE UNIT PRICE (OUTPATIENT)
Px00045010026,HC Remove nasal foreign body bilateral,$224.00,$224.00
Px00045010028,HC CONTROL OF NOSEBLEED SIMPLE,$266.00,$266.00
Px00045010030,HC CONTROL OF NOSEBLEED COMPLEX,$266.00,$266.00
Px00045013183,HC CONTROL OF NOSEBLEED POSTERIOR,$224.00,$224.00
Px00045013185,HC Repeat control of nosebleed,$224.00,$224.00
Px00045013191,HC CHANGE OF WINDPIPE AIRWAY,$224.00,$224.00
Px00045013192,HC DIAGNOSTIC LARYNGOSCOPY INDIRECT,$224.00,$224.00
Px00045013193,"HC REMOVE FOREIGN BODY LARYNX, INDIRECT",$421.00,$421.00
Px00045013201,HC Tracheostomy,"$1,964.00","$1,964.00"
Px00045013202,HC Cricothyroidotomy,$652.00,$652.00
Px00045013203,HC VISUALIZATION OF WINDPIPE,$543.00,$543.00
Px00036110934,HC NEEDLE BIOPSY LYMPH NODES,"$1,405.00","$1,405.00"
Px00045013217,"HC Drainage of mouth lesion, simple",$224.00,$224.00
Px00045013220,HC Repair mouth laceration <2.5cm,$421.00,$421.00
Px00045013221,HC Repair mouth laceration >2.5cm,$543.00,$543.00
Px00045013224,"HC Repair tongue laceration <2.6cm, floor of mouth and/or anterior two-thirds of tongue",$224.00,$224.00
Px00045013226,"HC REPAIR OF LACERATION OF TONGUE, FLOOR OF MOUTH, OVER 2.6 CM OR COMPLEX",$652.00,$652.00
Px00045010492,HC DRAINAGE OF GUM LESION,$224.00,$224.00
Px00045013231,"HC Repair, laceration of palate up to 2 cm",$421.00,$421.00
Px00045013232,HC Drainage of tonsil abscess,$421.00,$421.00
Px00045013233,HC Drainage of throat abscess,$945.00,$945.00
Px00045013234,HC Remove pharynx foreign body,$224.00,$224.00
Px00045013235,"HC Control throat bleeding, simple",$224.00,$224.00
Px00045013243,HC Trmt gastro intub w/asp,$233.00,$233.00
Px00045010410,HC Incise external hemorrhoid,$421.00,$421.00
Px00045010414,HC DIAGNOSTIC ANOSCOPY,$348.00,$348.00
Px00045010423,HC IRRIGATION OF BLADDER,$421.00,$421.00
Px00076110205,HC TREATMENT OF BLADDER LESION,$868.00,$868.00
Px00045010455,HC REMOVE INTRAUTERINE DEVICE,$276.00,$276.00
Px00036010345,HC CATHETER FOR HYSTEROGRAPHY,"$1,155.00","$1,155.00"
Px00036010349,HC BIOPSY OF THYROID,"$1,428.00","$1,428.00"
Px00045010459,HC NERVE BLOCK INJ TRIGEMINAL,$501.00,$501.00
Px00045010460,HC Nerve block inj facial,$421.00,$421.00
Px00045010461,HC NERVE BLOCK INJ OCCIPITAL,$543.00,$543.00
Px00045010467,HC REMOVE FOREIGN BODY FROM EYE SUPERFICIAL,$543.00,$543.00
Px00045010468,HC Remove foreign body from eye superficial bilateral,$543.00,$543.00
Px00045010469,HC Remove foreign body from eye embedded,$543.00,$543.00
Px00045010470,HC Remove foreign body from eye embedded bilateral,$543.00,$543.00
Px00045010471,HC REMOVE FOREIGN BODY FROM EYE CORNEAL W/O SLIT LAMP,$224.00,$224.00
Px00045010472,HC Remove foreign body from eye corneal w/o slit lamp bilateral,$446.00,$446.00
Px00045013170,HC REMOVE FOREIGN BODY FROM EYE CORNEAL W/ SLIT LAMP,$224.00,$224.00
Px00045013171,HC Remove foreign body from eye corneal w/ slit lamp bilateral,$446.00,$446.00
Px00045010485,HC DRAIN EXTERNAL EAR LESION SIMPLE,$224.00,$224.00
Px00045010486,HC Drain external ear lesion simple bilateral,$446.00,$446.00
Px00045010478,HC Drain outer ear canal lesion bilateral,$446.00,$446.00
Px00045013173,HC Drain outer ear canal lesion,$224.00,$224.00
Px00045010489,HC CLEAR OUTER EAR CANAL W/O GENERAL ANESTHESIA,$224.00,$224.00
Px00045010490,HC Clear outer ear canal w/o general anesthesia bilateral,$446.00,$446.00
Px00045010491,HC REMOVE IMPACTED EAR WAX,$224.00,$224.00
Px00045010450,HC INCISION OF EARDRUM W/O GENERAL ANESTHESIA,$421.00,$421.00
Px00045010407,HC INCISION OF RECTAL ABSCESS,$945.00,$945.00
Px00045010409,HC INCISION OF ANAL ABSCESS,$945.00,$945.00
Px00098110316,REMOVE NASAL FOREIGN BODY,$489.00,$489.00
Px00098110317,CONTROL OF NOSEBLEED SIMPLE,$471.00,$471.00
Px00098110319,CONTROL OF NOSEBLEED COMPLEX,$699.00,$699.00
Px00098110321,CONTROL OF NOSEBLEED POSTERIOR,"$1,265.00","$1,265.00"
Px00098110322,REPEAT CONTROL OF NOSEBLEED,"$1,190.00","$1,190.00"
Px00098110323,NASAL ENDOSCOPY DX,$988.00,$988.00
Px00098110324,HC PR 31500 INS EMERGENCY AIRWAY,"$1,897.00","$1,897.00"
Px00098110325,CHANGE OF WINDPIPE AIRWAY,$836.00,$836.00
Px00098110326,DIAGNOSTIC LARYNGOSCOPY INDIRECT,$526.00,$526.00
Px00098110328,REMOVE FOREIGN BODY LARYNX,"$1,639.00","$1,639.00"
Px00098110333,DIAGNOSTIC LARYNGOSCOPY,$979.00,$979.00
Px00098110335,TRACHEOSTOMY,"$3,285.00","$3,285.00"
Px00098110336,CRICOTHYROIDOTOMY,"$2,874.00","$2,874.00"
Px00097510181,VISUALIZATION OF WINDPIPE,"$1,643.00","$1,643.00"
Px00098110337,EXPLORE/REPAIR CHEST,"$7,893.00","$7,893.00"
Px00098110342,INSERTION OF CHEST TUBE,"$1,500.00","$1,500.00"
Px00097510198,"REPAIR BLOOD VESSEL LESION, UPPER EXTREMITY","$6,785.00","$6,785.00"
Px00097510212,VASCULAR SURGERY PROCEDURE,"$2,364.00","$2,364.00"
Px00097510219,"DRAINAGE LYMPH NODE LESION, COMPLEX","$1,380.00","$1,380.00"
Px00097510220,BIOPSY/REMOVAL LYMPH NODES,"$2,577.00","$2,577.00"
Px00097510221,NEEDLE BIOPSY LYMPH NODES,"$1,475.00","$1,475.00"
Px00097510222,"BIOPSY/REMOVAL LYMPH NODES OPEN, DEEP CERVICAL NODE(S)","$3,787.00","$3,787.00"
Px00097510235,BIOPSY OF LIP,$433.00,$433.00
Px00098110352,"DRAINAGE OF MOUTH LESION, SIMPLE",$557.00,$557.00
Px00098110354,REPAIR MOUTH LACERATION <2.5CM,$685.00,$685.00
Px00098110355,REPAIR MOUTH LACERATION >2.5CM,"$1,710.00","$1,710.00"
Px00098310172,INCISION OF TONGUE FOLD,"$1,204.00","$1,204.00"
Px00097510242,EXCISION OF TONGUE FOLD,"$1,200.00","$1,200.00"
Px00098110357,"REPAIR TONGUE LACERATION <2.6CM, FLOOR OF MOUTH AND/OR ANTERIOR TWO-THIRDS OF TONGUE",$816.00,$816.00
Px00098110359,"REPAIR OF LACERATION OF TONGUE, FLOOR OF MOUTH, OVER 2.6 CM OR COMPLEX","$2,382.00","$2,382.00"
Px00098110360,DRAINAGE OF GUM LESION,$735.00,$735.00
Px00097510249,HC PR EXCISION LESION MOUTH ROOF,"$1,163.00","$1,163.00"
Px00098110362,"REPAIR, LACERATION OF PALATE UP TO 2 CM",$875.00,$875.00
Px00097510254,"BIOPSY OF SALIVARY GLAND, NEEDLE",$578.00,$578.00
Px00098110366,DRAINAGE OF TONSIL ABSCESS,$835.00,$835.00
Px00098110367,DRAINAGE OF THROAT ABSCESS,"$1,206.00","$1,206.00"
Px00098110368,REMOVE PHARYNX FOREIGN BODY,$710.00,$710.00
Px00097510570,REMOVE TONSILS AND ADENOIDS < 12 YEARS,"$1,999.00","$1,999.00"
Px00097510571,REMOVE TONSILS AND ADENOIDS > 12 YEARS,"$2,968.00","$2,968.00"
Px00097510572,REMOVAL OF TONSILS <12YEARS,"$2,773.00","$2,773.00"
Px00097510573,REMOVAL OF TONSILS >12YEARS,"$1,991.00","$1,991.00"
Px00097510574,REMOVAL OF ADENOIDS <12 YEARS,"$2,041.00","$2,041.00"
Px00098110372,"CONTROL THROAT BLEEDING, SIMPLE",$781.00,$781.00
Px00097510289,HC PR 43202 ESOPHAGOSCOPY FLEX REMOVE FB,"$1,812.00","$1,812.00"
Px00096910212,HC PR 43246 EGD PLACE GASTROSTOMY TUBE,"$2,897.00","$2,897.00"
Px00097510505,HC PR 43251 EGD REMOVE LESION SNARE,"$2,941.00","$2,941.00"
Px00098110375,TX GASTRO INTUB W/ASP,$195.00,$195.00
Px00097510559,"PLACE GASTROSTOMY TUBE, W/O CONSTRUCTION","$6,514.00","$6,514.00"
Px00097510562,REPAIR OF STOMACH LESION,"$7,865.00","$7,865.00"
Px00097510569,FREEING OF BOWEL ADHESION,"$7,429.00","$7,429.00"
Px00097510579,"REMOVAL OF SMALL INTESTINE, SINGLE RESECTION","$9,755.00","$9,755.00"
Px00097510583,BOWEL TO BOWEL FUSION,"$3,379.00","$3,379.00"
Px00097510584,MOBILIZATION OF COLON,$747.00,$747.00
Px00097510585,PARTIAL REMOVAL OF COLON W/ ANASTOMOSIS,"$10,058.00","$10,058.00"
Px00097510587,"PARTIAL REMOVAL OF COLON, HARTMANN PROCEDURE","$8,143.00","$8,143.00"
Px00097510598,"REMOVAL OF COLON, PARTIAL","$7,483.00","$7,483.00"
Px00097510599,LAPAROSCOPY ENTEROLYSIS,"$5,411.00","$5,411.00"
Px00096910214,LAPAROSCOPY PARTIAL COLECTOMY,"$8,731.00","$8,731.00"
Px00097510705,LAPAROSCOPY MOBILIZATION SPLENIC FLEXURE ADD-ON,"$1,248.00","$1,248.00"
Px00097510709,COLOSTOMY,"$4,636.00","$4,636.00"
Px00097510718,COLONOSCOPY WITH BIOPSY,"$2,582.00","$2,582.00"
Px00097510728,REPAIR BOWEL OPENING,"$4,327.00","$4,327.00"
Px00097510729,"REPAIR BOWEL OPENING, W/ RESECTION","$6,090.00","$6,090.00"
Px00097510730,"REPAIR BOWEL OPENING, HARTMANN METHOD","$7,787.00","$7,787.00"
Px00097510732,"REPAIR BOWEL-BLADDER FISTULA, W/ RESECTION","$8,653.00","$8,653.00"
Px00097510737,DRAIN APP ABSCESS OPEN,"$4,547.00","$4,547.00"
Px00097510738,APPENDECTOMY,"$5,191.00","$5,191.00"
Px00097510739,APPENDECTOMY ADD-ON,$791.00,$791.00
Px00097510740,"APPENDECTOMY, RUPTURED","$6,774.00","$6,774.00"
Px00097510741,LAPAROSCOPY APPENDECTOMY,"$5,190.00","$5,190.00"
Px00098110378,PROCTOSIGMOIDOSCOPY DX,$449.00,$449.00
Px00097510752,PROCTOSIGMOIDOSCOPY W/BX,$737.00,$737.00
Px00097510782,SURG DX EXAM ANORECTAL,$512.00,$512.00
Px00097510783,PLACEMENT OF SETON,$621.00,$621.00
Px00098110381,INCISION OF RECTAL ABSCESS,"$2,284.00","$2,284.00"
Px00098110382,INCISION OF ANAL ABSCESS,"$1,191.00","$1,191.00"
Px00096910217,INCISION OF ANAL SPHINCTER,"$2,860.00","$2,860.00"
Px00098110383,INCISE EXTERNAL HEMORRHOID,$690.00,$690.00
Px00097510786,EXCISE ANAL EXTERNAL TAG/PAPILLA,$866.00,$866.00
Px00098110384,LIGATION OF HEMORRHOID(S),"$1,088.00","$1,088.00"
Px00097510787,REMOVE EXT HEM GROUPS 2+,"$4,038.00","$4,038.00"
Px00097510788,REMOVE INTERNAL/EXTERNAL HEMORROID SINGLE GROUP,"$3,419.00","$3,419.00"
Px00097510791,REMOVE INTERNAL/EXTERNAL HEMORROID GROUPS 2+,"$5,047.00","$5,047.00"
Px00097510794,REMOVE ANAL FIST SUBQ,"$2,395.00","$2,395.00"
Px00097510795,REMOVE ANAL FIST INTER,"$3,116.00","$3,116.00"
Px00097510796,REMOVE ANAL FIST COMPLEX,"$3,420.00","$3,420.00"
Px00098110386,REMOVAL OF HEMORRHOID CLOT,$843.00,$843.00
Px00098110387,DIAGNOSTIC ANOSCOPY,$393.00,$393.00
Px00097510798,ANOSCOPY AND BIOPSY,$807.00,$807.00
Px00097510800,REPAIR ANORECTAL FISTULA W/PLUG,"$4,473.00","$4,473.00"
Px00097510802,HC PR LASER SURGERY ANAL LESIONS,"$2,638.00","$2,638.00"
Px00097510803,EXCISION OF ANAL LESION(S),"$1,967.00","$1,967.00"
Px00097510804,"DESTRUCTION ANAL LESION(S), EXTENSIVE","$3,295.00","$3,295.00"
Px00097510807,HEMORRHOIDOPEXY BY STAPLING,"$1,736.00","$1,736.00"
Px00097510818,LAPAROSCOPIC CHOLECYSTECTOMY,"$8,117.00","$8,117.00"
Px00097510819,LAPAROSCOPY CHOLECYSTECTOMY/GRAPH,"$8,656.00","$8,656.00"
Px00097510822,CHOLECYSTECTOMY,"$8,117.00","$8,117.00"
Px00097510823,CHOLECYSTECTOMY W/ CHOLANGIOGRAPHY,"$8,656.00","$8,656.00"
Px00097510843,EXPLORATION OF ABDOMEN,"$6,458.00","$6,458.00"
Px00097510846,"DRAIN ABDOMINAL ABSCESS, OPEN","$5,836.00","$5,836.00"
Px00097510848,DRAIN OPEN RETROP ABSCESS,"$5,002.00","$5,002.00"
Px00097510851,EXCISE ABDOMENAL TUMOR <=5CM,"$5,551.00","$5,551.00"
Px00097510852,EXCISE ABDOMENAL TUMOR >5CM,"$6,938.00","$6,938.00"
Px00097510853,EXCISE ABDOMENAL TUMOR >10CM,"$8,327.00","$8,327.00"
Px00097510856,DIAGNOSTIC LAPAROSCOPY SEPARATE PROC,"$2,151.00","$2,151.00"
Px00097510858,LAPAROSCOPY BIOPSY,"$2,151.00","$2,151.00"
Px00097510859,LAPAROSCOPY ASPIRATION,"$2,359.00","$2,359.00"
Px00097510862,REMOVE FOREIGN BODY ADBOMEN,"$3,938.00","$3,938.00"
Px00097510864,REMOVE TUNNELED INTRAPERITONEAL CATH,"$1,735.00","$1,735.00"
Px00097510130,REPAIR INGUINAL HERNIA INITIAL BLOCK >5 YR REDUCIBLE,"$4,520.00","$4,520.00"
Px00097510870,REPAIR INGUINAL HERNIA INITIAL BLOCK >5 YR,"$3,656.00","$3,656.00"
Px00096910221,REREPAIR INGUINAL HERNIA REDUCE,"$3,597.00","$3,597.00"
Px00097510871,REPAIR REM HERNIA INIT REDUCE,"$4,790.00","$4,790.00"
Px00097510872,REPAIR FEMORAL HERNIA INITIAL BLOCKED,"$5,534.00","$5,534.00"
Px00097510874,REREPAIR FEMORAL HERNIA BLOCKED,"$6,530.00","$6,530.00"
Px00096910224,REPAIR VENTRAL HERNIA INITIAL REDUCIBLE,"$5,822.00","$5,822.00"
Px00096910225,REPAIR VENTRAL HERNIA INITIAL BLOCKED,"$7,343.00","$7,343.00"
Px00096910226,REREPAIR VENTRAL HERNIA REDUCE,"$6,063.00","$6,063.00"
Px00097510875,REREPAIR VENTRAL HERNIA BLOCKED,"$7,408.00","$7,408.00"
Px00096910227,HERNIA REPAIR W/MESH,"$1,709.00","$1,709.00"
Px00097510876,REPAIR EPIGASTRIC HERNIA REDUCIBLE,"$2,269.00","$2,269.00"
Px00097510877,REPAIR EPIGASTRIC HERNIA BLOCKED,"$2,861.00","$2,861.00"
Px00098310055,REPAIR UMBILICAL HERNIA REDUCIBLE >5YR,"$4,475.00","$4,475.00"
Px00096910228,REPAIR UMBILICAL HERNIA BLOCK >5 YR,"$5,610.00","$5,610.00"
Px00097510880,"HC PR LAPAROSCOPY INGUINAL HERNIA REPAIR, INITIAL","$3,037.00","$3,037.00"
Px00097510881,"HC PR LAPAROSCOPY INGUINAL HERNIA REPAIR, RECURRENT","$3,263.00","$3,263.00"
Px00097510882,LAPAROSCOPY VENTRAL/ABDOMINAL HERNIA REPAIR,"$4,661.00","$4,661.00"
Px00097510888,LAPAROSCOPY PROCEDURE HERNIA REPAIR,"$5,988.00","$5,988.00"
Px00097510889,REPAIR OF ABDOMINAL WALL,"$4,587.00","$4,587.00"
Px00098110394,DRAIN BL W/CATH INSERTION,"$2,088.00","$2,088.00"
Px00098110395,IRRIGATION OF BLADDER,$371.00,$371.00
Px00098110396,HC PR 51702 INSERT TEMP BLADDER CATHETER,$286.00,$286.00
Px00098110397,INSERT BLADDER CATHETER COMPLEX,"$1,124.00","$1,124.00"
Px00096910238,"CHANGE OF BLADDER TUBE, SIMPLE",$974.00,$974.00
Px00096910239,TREATMENT OF BLADDER LESION,$907.00,$907.00
Px00096010041,US URINE CAPACITY MEASURE,$149.00,$149.00
Px00097511013,LAPAROSCOPY SLING OPERATION,"$7,595.00","$7,595.00"
Px00096910242,CYSTOSCOPY,"$1,279.00","$1,279.00"
Px00096910244,CYSTOSCOPY & URETER CATHETER,"$1,692.00","$1,692.00"
Px00097511014,CYSTOSCOPY W/BIOPSY(S),$879.00,$879.00
Px00096910245,CYSTOSCOPY AND TREATMENT,"$2,220.00","$2,220.00"
Px00096910247,"CYSTOSCOPY AND TREATMENT SMALL TUMOR, 0.5 - 2.0CM","$1,986.00","$1,986.00"
Px00096910248,"CYSTOSCOPY AND TREATMENT MEDIUM TUMOR, 2.0 - 5.0CM","$1,878.00","$1,878.00"
Px00096910250,"CYSTOSCOPY AND TREATMENT, W/ DILATION, GENERAL/SPINAL ANESTHESIA","$1,316.00","$1,316.00"
Px00096910252,CYSTOSCOPY AND TREATMENT STRICTURE/DILATION,"$1,737.00","$1,737.00"
Px00096910258,"CYSTOURETHROSCOPY, WITHFB REMOVAL SIMPLE","$1,000.00","$1,000.00"
Px00097511016,CYSTOURETHROSCOPY W/ INSERTION OF INDWELLING URETERAL STENT,"$1,876.00","$1,876.00"
Px00096910272,REVISION OF BLADDER NECK,"$5,647.00","$5,647.00"
Px00096910273,PROSTATECTOMY (TURP),"$5,900.00","$5,900.00"
Px00096910278,INCISION OF URETHRA,$736.00,$736.00
Px00096910290,"DILATE URETHRA STRICTURE MALE, INITIAL",$667.00,$667.00
Px00096910292,"DILATE URETHRA STRICTURE W/ FILIFORM MALE, INITIAL",$864.00,$864.00
Px00096910294,"DILATION OF URETHRA FEMALE, INITIAL",$667.00,$667.00
Px00096910298,"DESTRUCTION PENIS LESION(S), SIMPLE",$836.00,$836.00
Px00096910300,EXCISION OF PENIS LESION(S),"$1,152.00","$1,152.00"
Px00096910804,CIRCUMCISION 28 DAYS OR OLDER,"$3,820.00","$3,820.00"
Px00096910806,REPAIR OF CIRCUMCISION,"$1,043.00","$1,043.00"
Px00098110398,IRRIGATION OF CORPORA CAVERNOSA FOR PRIAPISM,"$1,128.00","$1,128.00"
Px00096910817,PREPUTIAL STRETCHING,$435.00,$435.00
Px00097511030,REMOVAL OF TESTIS RADICAL,"$3,670.00","$3,670.00"
Px00096910821,REDUCE TESTIS TORSION,"$3,419.00","$3,419.00"
Px00096910824,REMOVE EPIDIDYMIS LESION,"$2,450.00","$2,450.00"
Px00096910825,"REMOVE EPIDIDYMIS LESION, SPERMATOCELE","$2,870.00","$2,870.00"
Px00097511033,REMOVAL OF HYDROCELE,"$2,883.00","$2,883.00"
Px00098110399,DRAINAGE OF SCROTUM ABSCESS,$750.00,$750.00
Px00097511034,REMOVAL OF SPERM DUCT(S),"$2,181.00","$2,181.00"
Px00096910834,BIOPSY OF PROSTATE,"$1,278.00","$1,278.00"
Px00098110802,I & D OF VULVA/PERINEUM,$691.00,$691.00
Px00098110803,DRAINAGE OF GLAND ABSCESS,$681.00,$681.00
Px00097511041,SURGERY FOR VULVA LESION,"$1,362.00","$1,362.00"
Px00097511042,LYSIS OF LABIAL LESION(S),$805.00,$805.00
Px00098310059,DESTROY VULVA LESIONS SIMPLE,$526.00,$526.00
Px00097511043,"BIOPSY OF VULVA/PERINEUM, SINGLE LESION",$536.00,$536.00
Px00098310060,"BIOPSY OF VULVA/PERINEUM, EA ADD'L LESION",$279.00,$279.00
Px00097511044,PARTIAL REMOVAL OF HYMEN,"$1,237.00","$1,237.00"
Px00097511045,REMOVE VAGINA GLAND LESION,"$1,610.00","$1,610.00"
Px00098310061,REPAIR OF VAGINA,"$1,851.00","$1,851.00"
Px00097511046,REPAIR OF PERINEUM,"$1,855.00","$1,855.00"
Px00097511047,EXAM OF VULVA W/SCOPE,$464.00,$464.00
Px00097511048,EXAM/BIOPSY OF VULVA W/SCOPE,$696.00,$696.00
Px00097511049,"DRAINAGE OF PELVIC ABSCESS, COLPOTOMY","$2,285.00","$2,285.00"
Px00098210109,HC PR I & D VAGINAL HEMATOMA PP,$831.00,$831.00
Px00097511050,I & D VAGINAL HEMATOMA NON-OB,$831.00,$831.00
Px00096910837,DESTROY VAGINAL LESIONS SIMPLE,"$1,246.00","$1,246.00"
Px00097511051,BIOPSY OF VAGINA,$602.00,$602.00
Px00098310168,BIOPSY OF VAGINA-EXTENSIVE,"$1,225.00","$1,225.00"
Px00097511052,REMOVE VAGINA WALL PARTIAL,"$4,320.00","$4,320.00"
Px00097511053,REMOVE VAGINAL CYST OR TUMOR,"$1,661.00","$1,661.00"
Px00096910839,INSERT PESSARY/OTHER DEVICE,$291.00,$291.00
Px00096910840,FITTING OF DIAPHRAGM/CAP,$249.00,$249.00
Px00096910841,"REPAIR OF VAGINA, SUTURE","$1,622.00","$1,622.00"
Px00097511054,REPAIR VAGINA/PERINEUM,"$2,069.00","$2,069.00"
Px00097511055,REPAIR BLADDER & VAGINA,"$2,757.00","$2,757.00"
Px00097511056,REPAIR RECTUM & VAGINA,"$2,552.00","$2,552.00"
Px00097511057,"REPAIR OF VAGINA, COMBINED ANTEROPOSTERIOR COLPORRHAPHY","$3,793.00","$3,793.00"
Px00097511058,EXTENSIVE REPAIR OF VAGINA,"$4,824.00","$4,824.00"
Px00097511060,REPAIR OF BOWEL BULGE,"$2,757.00","$2,757.00"
Px00097511061,SUSPENSION OF VAGINA,"$4,828.00","$4,828.00"
Px00097511062,"COLPOPEXY EXTRAPERITONEAL, ABDOMINAL APPROACH","$3,172.00","$3,172.00"
Px00097511063,COLPOPEXY INTRAPERITONEAL APPROACH,"$3,793.00","$3,793.00"
Px00097511066,REVISE VAGINAL GRAFT VIA VAGINA,"$2,757.00","$2,757.00"
Px00097511069,PELVIC EXAMINATION,$551.00,$551.00
Px00098310065,EXAM OF VAGINA W/SCOPE,$551.00,$551.00
Px00097511070,EXAM/BIOPSY OF VAGINA W/SCOPE,$793.00,$793.00
Px00097511071,EXAM OF CERVIX W/SCOPE,$538.00,$538.00
Px00097511072,BX/CURETT OF CERVIX W/SCOPE,$765.00,$765.00
Px00098310066,BIOPSY OF CERVIX W/SCOPE,$707.00,$707.00
Px00098310067,ENDOCERVICAL CURETTAGE W/SCOPE,$624.00,$624.00
Px00097511073,BX OF CERVIX W/SCOPE LEEP,"$1,281.00","$1,281.00"
Px00097511184,CONZ OF CERVIX W/SCOPE LEEP,"$1,442.00","$1,442.00"
Px00096910844,ENDOCERVICAL CURETTAGE,$501.00,$501.00
Px00096910845,CRYOCAUTERY OF CERVIX,$722.00,$722.00
Px00097511185,CONIZATION OF CERVIX COLD KNIFE OR LASER,"$1,701.00","$1,701.00"
Px00097511076,"CONIZATION OF CERVIX, LOOP ELECTRODE","$1,612.00","$1,612.00"
Px00096910848,BIOPSY OF UTERUS LINING,$524.00,$524.00
Px00097511078,BX DONE W/COLPOSCOPY ADD-ON,$295.00,$295.00
Px00097511079,DILATION AND CURETTAGE,"$1,475.00","$1,475.00"
Px00097511080,MYOMECTOMY ABDOMINAL METHOD,"$4,771.00","$4,771.00"
Px00097511081,MYOMECTOMY VAGINAL METHOD,"$3,217.00","$3,217.00"
Px00097511082,MYOMECTOMY ABDOMINAL COMPLEX,"$5,629.00","$5,629.00"
Px00097511083,TOTAL HYSTERECTOMY,"$9,067.00","$9,067.00"
Px00097511085,TOTAL HYSTERECTOMY W/ COLPO-URETHROCYSTOPEXY,"$7,083.00","$7,083.00"
Px00097511086,PARTIAL HYSTERECTOMY,"$5,255.00","$5,255.00"
Px00097511087,EXTENSIVE HYSTERECTOMY,"$7,656.00","$7,656.00"
Px00097511088,VAGINAL HYSTERECTOMY,"$4,856.00","$4,856.00"
Px00097511089,VAGINAL HYSTERECTOMY INCL TUBES/OVARY(S),"$5,141.00","$5,141.00"
Px00097511201,VAGINAL HYSTERECTOMY INCL TUBES/OVARY(S) & ENTEROCELE REPAIR,"$6,283.00","$6,283.00"
Px00097511091,VAGINAL HYSTERECTOMY W/ENTEROCELE REPAIR,"$4,970.00","$4,970.00"
Px00097511092,VAGINAL HYSTERECTOMY COMPLEX,"$6,455.00","$6,455.00"
Px00096910849,VAGINAL HYSTERECTOMY INCL TUBES/OVARY(S) COMPLEX,"$7,141.00","$7,141.00"
Px00096910850,INSERT INTRAUTERINE DEVICE,$545.00,$545.00
Px00098110808,REMOVE INTRAUTERINE DEVICE,$532.00,$532.00
Px00096910851,CATHETER FOR HYSTEROGRAPHY,$794.00,$794.00
Px00097511206,"CHROMOTUBATION OF OVIDUCT, INCL MATERIALS",$686.00,$686.00
Px00097511096,ENDOMETRIAL ABLATION THERMAL,"$3,407.00","$3,407.00"
Px00097511097,LSH UTERUS 250G OR LESS,"$4,640.00","$4,640.00"
Px00097511098,LSH W/ TUBE/OVARY REMOVAL UTERUS 250G OR LESS,"$5,119.00","$5,119.00"
Px00097511099,LAPARO-ASST VAGINAL HYSTERECTOMY,"$4,778.00","$4,778.00"
Px00097511100,LAPARO-VAGINAL HYSTERECTOMY INCL TUBES/OVARY(S),"$5,324.00","$5,324.00"
Px00097511101,LAPARO-VAGINAL HYSTERECTOMY COMPLEX,"$6,143.00","$6,143.00"
Px00097511213,LAPARO-VAGINAL HYSTERECTOMY W/ TUBES/OVARY(S) COMPLEX,"$6,826.00","$6,826.00"
Px00098210110,HYSTEROSCOPY DX SEPERATE PROC,"$1,570.00","$1,570.00"
Px00097511103,HYSTEROSCOPY BIOPSY,"$2,389.00","$2,389.00"
Px00097511104,HYSTEROSCOPY REMOVE MYOMA,"$4,300.00","$4,300.00"
Px00097511216,HYSTEROSCOPY REMOVE FB,"$2,730.00","$2,730.00"
Px00097511106,HYSTEROSCOPY ABLATION,"$8,873.00","$8,873.00"
Px00098310068,DIVISION OF FALLOPIAN TUBE,"$3,135.00","$3,135.00"
Px00098310169,DIVISION OF FALLOPIAN TUBE -POST PRTM,"$4,152.00","$4,152.00"
Px00097511107,LIGATE OVIDUCT(S) ADD-ON,"$2,227.00","$2,227.00"
Px00097511109,LAPAROSCOPY LYSIS,"$5,088.00","$5,088.00"
Px00097511110,LAPAROSCOPY REMOVE ADNEXA,"$5,122.00","$5,122.00"
Px00097511111,LAPAROSCOPY EXCISE LESIONS,"$8,056.00","$8,056.00"
Px00097511112,LAPAROSCOPY TUBAL CAUTERY,"$4,444.00","$4,444.00"
Px00097511113,LAPAROSCOPY TUBAL BLOCK,"$4,444.00","$4,444.00"
Px00097511115,REMOVAL OF FALLOPIAN TUBE,"$4,182.00","$4,182.00"
Px00097511116,REMOVAL OF OVARY/TUBE(S),"$4,878.00","$4,878.00"
Px00096910853,DRAINAGE OF OVARIAN CYST(S) VAGINAL APPROACH,"$2,648.00","$2,648.00"
Px00096910854,"DRAINAGE OF OVARIAN CYST(S), ABDOMINAL APPROACH","$3,346.00","$3,346.00"
Px00098310069,REMOVAL OF OVARIAN CYST(S),"$4,182.00","$4,182.00"
Px00097511117,REMOVAL OF OVARY(S),"$3,903.00","$3,903.00"
Px00097511121,BIOPSY OF THYROID,$991.00,$991.00
