Kaweah Delta Health Care District,,
CDM Listing as of June 2018,,
,,
,,
ITEM NUMBER,DESCRIPTION, UNIT PRICE 
2501270,Potassium Chlor 20Meq Inj, $1.68 
2501271,Potassium Chlor 30Meq Inj, $35.20 
2501272,Potassium Chlor 40Meq Inj, $0.53 
2501275,Potassium Phosph 10Ml Iv, $68.90 
2501276,Pred Forte 1% Oph 5Ml (Stat), $-   
2501283,Premarin 25Mg Iv 5Ml," $1,347.95 "
2501286,Premarin Vag Cr 42.5Gm (Stat), $-   
2501296,Prochlorperazine 10Mg Inj, $103.25 
2501301,Progesterone 50Mg Inj 1Ml, $18.07 
2501302,Prolixin 2.5Mg Inj 1Ml," $1,020.70 "
2501305,Prolixn Deca 25Mg Inj 1Ml, $172.95 
2501309,Promethazine 25Mg Inj 1Ml, $9.70 
2501311,Procainamide 500Mg Inj 2M, $305.35 
2501312,Procainamide 100Mg Inj 10, $367.95 
2501322,Neostigmine 5Mg/5Ml Syr, $5.05 
2501323,Neostigmine Inj 1Ml, $15.63 
2501325,Prostin E-2 Supp, $-   
2501326,Protamine Inj 50Mg, $13.06 
2501327,Pralidoxime Cl Inj To 1Gm, $483.80 
2501328,Albuterol Inhaler, $-   
2501350,R-Gene 300Cc, $174.85 
2501355,Regitine 5Mg Inj, $83.70 
2501357,Metoclopramide 10Mg Inj 2, $9.70 
2501367,Glycopyrrolate Inj 1Ml, $23.11 
2501368,Glycopyrrolate 0.2Mg Inj, $53.45 
2501409,Sod Bicarb 8.4Prc 50Ml, $51.90 
2501412,Sod Bicarb Abboj 8.4P50Ml, $58.95 
2501415,Sod Chlor 23.3% Inj 30Ml (Stat), $-   
2501417,Sod Chlor .9Prc Bact 30Ml (Stat), $-   
2501420,Sulfacetamide 10% Oph 15M (Stat), $-   
2501425,Hydrocortisone 100Mg Inj, $48.00 
2501426,Hydrocortisone 250Mg Inj, $42.66 
2501427,Methyprednisolone 40Mginj, $33.25 
2501428,Methylprednisolone 125Mg, $53.65 
2501429,Methylprednisolone 500Mg, $26.35 
2501430,Methlyprednisolone 1000Mg, $24.83 
2501451,Sterile Water Irr 1500Cc (Stat), $-   
2501457,Streptomycin 1000 Mg Inj, $53.39 
2501458,Fentanyl 2Ml Inj, $13.96 
2501463,Sultrin Vag Cr W/App 78Gm, $-   
2501477,Levothyroxine 500Mcg Inj, $357.59 
2501516,Tetracaine 0.5% Ophth (Stat), $-   
2501526,Thiamine 100Mg Inj, $28.93 
2501535,Chlorpromazine 50Mg Inj 2, $143.10 
2501553,Timolol 0.5% Oph 5Ml (Stat), $-   
2501554,Timolol 0.25% Oph 5Ml (Stat), $-   
2501560,Tobramycin 0.3% Oph 5Ml (Stat), $-   
2501561,Tobramycin 0.3% Oph 3.5Gm (Stat), $-   
2501572,Tracrium 5Ml Inj 50Mg, $363.27 
2501598,Trobicin 2Gm Inj, $208.12 
2501607,Nafcillin Up To 1Gm Inj, $67.90 
2501608,Nafcillin Up To 2Gm Inj, $131.70 
2501609,Nafcillin Up To 500Mg Inj, $67.90 
2501628,Diazepam 10Mg/2Ml Syringe, $61.20 
2501633,Vancomycin Up To 500Mg Iv, $247.01 
2501634,Vasocidin Oph 10Ml (Stat), $-   
2501642,Doxycycline 100Mg Inj, $134.85 
2501649,Visine Eye Drops 22Ml (Stat), $-   
2501669,Vosol Hc Otic 10Ml (Stat), $-   
2501670,Vosol Otic 15Ml (Stat), $-   
2501671,Water For Inj 10Ml (Stat), $-   
2501672,Water For Inj 20Ml (Stat), $-   
2501673,Water Bacteriostat 30Ml (Stat), $-   
2501680,Wycillin 600Mu Inj 1Ml, $169.30 
2501689,Lidocaine 1% Inj 5Ml, $4.60 
2501690,Lidocaine 0.5% 50Ml Inj, $37.55 
2501691,Lidocaine 2% 50Ml Inj, $25.00 
2501692,Lidocaine 500Mg/50Ml Inj, $0.38 
2501698,Lidocaine Visl 100Ml 2% (Stat), $-   
2501699,Xylocaine 2%/Epi 20Ml, $20.30 
2501700,Lidocaine W/Epi 1% 50Ml, $24.20 
2501701,Lidocaine W/Epi .5% 50Ml, $23.50 
2501713,Acyclovir 500Mg Inj, $1.05 
2501722,Heparin 10Mu 1Ml, $2.72 
2501737,Acetic Acid Solution (Stat), $-   
2501750,Norcuron 10 Mg Injection, $33.90 
2501762,Hydralazine 20 Mg Injecti, $67.00 
2501778,Aerobid Inhaler, $-   
2501788,Methergine 0.2Mg Inj, $78.50 
2501801,Ns Nose Drops (Stat), $-   
2501813,Dura Morph Pf, $45.30 
2501818,Azmacort Inh., $-   
2501820,Vitamin A 50 000 Unit Cap, $-   
2501827,Hemabate," $1,267.50 "
2501837,Naloxone 1Mg/Ml 2Ml Syr, $92.08 
2501838,Sandimmune 250Mg/5Ml, $267.10 
2501849,Bumetamide 1Mg/4Ml, $17.25 
2501855,Ddavp 1 Ml Inj, $97.69 
2501863,Betaxolol 0.25% O/S, $-   
2501865,Mag Sulfate 50% 10 Ml, $9.70 
2501866,Nebcin Powder 1.2Gm Vial, $65.10 
2501870,Sulfa/Tmx Iv 160Mg/10Ml, $62.25 
2501871,Potassium Acetate 40Meq, $14.00 
2501874,Bumetamide 2.5Mg/10Ml, $25.85 
2501875,Labetalol Hcl 5Mg/Ml Inj, $19.30 
2501876,Dextrose 5% In Water (Stat), $-   
2501888,Ceftazidine Up To 1Gm Inj, $30.10 
2501913,Digibind 40Mg," $2,759.80 "
2501915,Piperacillin 3Gm Inj, $157.50 
2501917,Phenylephrine 2 1/2% Sd, $-   
2501918,Ceftriaxone Up To 500Mg I, $4.85 
2501920,Heparin 5 000 Units/Cc, $3.53 
2501922,Dopamine 400Mg/5Cc, $39.64 
2501923,Morphine Sulf 1Mg/Cc 30Cc, $193.99 
2501928,Butorphenol 1Mg/Ml, $108.44 
2501930,Pentam 300Mg Inj, $931.25 
2501931,Hydromorphone 4Mg Tab (Stat), $-   
2501935,Atrovent Inhaler (Stat), $-   
2501941,Acetylcystine 20% 30Cc, $9.31 
2501951,Aztreonam 1000Mg Inj, $183.90 
2501959,Ceftriaxone Up To 1Gm Inj, $2.55 
2501962,Hydromorphone 2Mg/Ml 20Ml, $7.26 
2501963,Metoprolol 5Mg/Ml Inj, $11.05 
2501966,Morrhuate Inj 5 Prc, $423.72 
2501969,Sodium Acetate 40Meq, $12.95 
2501971,Sod. Phosphate 60Meq/15Ml, $169.00 
2501972,Sodium Phosphate Tpn, $140.85 
2501975,Brevibloc 250Mg/Ml Inj, $544.58 
2501983,Activase 50Mg Br, $340.21 
2502008,Unasyn 1.5Gm, $51.55 
2502009,Mydriacyl 1% Single Dose (Stat), $-   
2502016,Hespan 500Ml, $71.75 
2502019,Prolastin, $21.39 
2502024,Calcijex 1Mcg/Ml, $55.60 
2502031,Rimso-50," $2,490.30 "
2502035,Insulin Humulin 70/30, $3.49 
2502037,Alfenta 2Ml, $48.95 
2502038,Morphine Sulfate 2Mg/2Ml, $13.32 
2502045,Aztreonam 2000Mg Inj, $323.65 
2502050,Prostin Vr Pediatric, $604.60 
2502053,Sincalide 5Mcg Inj, $465.55 
2502064,Dimenhydrinate 50 Mg/Ml, $65.16 
2502067,Lidocaine 2Gm/500Cc, $0.36 
2502076,Nacl 10 Prc 15 Ml, $9.70 
2502083,Dilaudid 50Mg Hp, $4.20 
2502099,Heparin 25 000 Units/500, $2.07 
2502100,Heparin 1000 Units/500Cc, $26.85 
2502103,Brevibloc 100Mg/10Ml, $80.25 
2502112,Humulin R 3Ml (Ed Use), $9.70 
2502121,Calcium Chloride 10P 10Cc, $23.00 
2502122,Astramorph 1Mg/Ml, $50.60 
2502124,Cefazolin 1Gm/D5W 50Ml, $19.78 
2502131,Rocephin 1Gm/D5W 50Ml, $54.99 
2502146,Gentamicin 80Mg/100Cc, $22.10 
2502147,Gentamicin 100Mg/100Cc, $18.96 
2502155,Ocufen, $-   
2502164,Edrophonium 10Mg/Ml 15 Ml, $446.40 
2502165,Lidocaine 2% 10Ml Pre-Fre, $20.40 
2502168,Dexamethasone 10Mg/Ml, $0.97 
2502171,Clindamycin 600Mg Pre-Mix, $97.35 
2502174,Propofol Sdv Inj, $39.40 
2502184,Aztreonam 1000Mg/50Ml Inj, $185.70 
2502187,Nafcillin 1Gm, $105.00 
2502189,Timentin 3.1Gm Pre Mix, $127.92 
2502190,Ketoralac 30Mg 1Ml Inj, $16.95 
2502193,Zinacef 1.5 Gm Pre-Mix, $59.65 
2502197,Cefuroxime Up To 750Mg Iv, $20.75 
2502199,Adenocard 6Mg/2Ml, $6.36 
2502200,Cytovine 500Mg, $542.80 
2502202,Diflucan 200Mg-100Cc, $33.10 
2502204,Cefuroxime Up To 1.5Gm Iv, $14.93 
2502225,Epinephrine 1Mg/Ml Mdv, $2.06 
2502226,Ondansetron 2Mg/Ml Vl, $2.43 
2502227,Cipro 400Mg Iv, $9.30 
2502233,Penicillin G Pot 1Mu 50Ml, $36.77 
2502234,Penicillin G Pot 2Mu 50Mi, $16.89 
2502235,Nitroglycerin 25 Mg 250Cc, $89.15 
2502236,Ciprofloxacin 400Mg/200Ml, $9.48 
2502237,Persantine Injection, $6.05 
2502243,Neupogen 480 Mcg/1.6 Ml," $1,909.90 "
2502248,Phenytoin 250Mg/5Ml, $2.24 
2502259,Sandostatin 0.05Mg/Ml, $17.18 
2502260,Empty Bag (Stat), $-   
2502267,Nitro Spray (Stat), $-   
2502269,Alfenta 10Ml, $87.70 
2502272,Romazicon 0.1Mg/Ml, $46.00 
2502275,Tobra Dex (Stat), $-   
2502276,Ciloxin (Stat), $-   
2502288,Betagan 0.5% (Stat), $-   
2502290,Rifamitin 600Mg Inj, $978.25 
2502292,Aredia 30Mg, $150.70 
2502293,Diltiazem 5Mg/Ml 10Ml Inj, $26.90 
2502300,Kinetic Consult Initial (Stat), $-   
2502301,Kinetic Consult (Stat), $-   
2502310,Voltaren Opth 5Ml, $-   
2502326,Benefix, $9.70 
2502333,Dinoproston Vag Gel 0.5Mg (Stat), $-   
2502343,Imitrex 6Mg, $145.10 
2502348,Pitocin 10 Units Inj, $31.30 
2502349,Nafcillin 2Gm Premix, $151.10 
2502356,Emla 5 Gm (Stat), $-   
2502357,Voltaren 25Mg (Stat), $-   
