,,,,,,,,,,,
Service or Items Charge Description,Short Description, Estimated Charge ,,Disclaimer:  These charge amounts are an estimate. The charge amounts you receive for the services provided may vary.,,,,,,,
NF-TRIPLE ANTIBIOTIC OINTMENT,NF-TRIPLE ANT, 0.60 ,,,,,,,,,
NF-TRIPLE ANTIBIOTIC OINTMENT,NF-TRIPLE ANT, 0.61 ,,,,,,,,,
NF-TRIPLE ANTIBIOTIC OINTMENT,NF-TRIPLE ANT, 2.48 ,,,,,,,,,
NF-Triumeq Oral Tablet 600MG-50MG-300MG,NF-TRIUMEQ OR, 375.00 ,,,,,,,,,
NF-Triumeq Oral Tablet 600MG-50MG-300MG,NF-TRIUMEQ OR, 405.00 ,,,,,,,,,
NF-Triumeq Oral Tablet 600MG-50MG-300MG,NF-TRIUMEQ OR, 405.00 ,,,,,,,,,
NF-Triumeq Oral Tablet 600MG-50MG-300MG,NF-TRIUMEQ OR, 405.00 ,,,,,,,,,
NF-Triumeq Oral Tablet 600MG-50MG-300MG,NF-TRIUMEQ OR, 405.00 ,,,,,,,,,
NF-TROLAMINE SALICYLATE CRM 10%,NF-TROLAMINE, 0.15 ,,,,,,,,,
NF-TROSPIUM CHLORIDE CAP ER 60MG,NF-TROSPIUM C, 22.32 ,,,,,,,,,
NF-TROSPIUM CHLORIDE ORAL TABLET 20MG,NF-TROSPIUM C, 10.24 ,,,,,,,,,
NF-Trulicity SubQ Soln 1.5MG/0.5ML,NF-TRULICITY," 1,464.00 ",,,,,,,,,
NF-TUBERCULIN ID SOLN 5TU/0.1ML,NF-TUBERCULIN, 109.84 ,,,,,,,,,
NF-TUDORZA PRESSAIR INH AER PWD 400MCG/1,NF-TUDORZA PR, 942.21 ,,,,,,,,,
NF-TUMS CALCIUM BONE     CHEWABLE TAB 50,NF-TUMS CALCI, 0.23 ,,,,,,,,,
NF-TUMS CHEWABLE TAB 500MG,NF-TUMS CHEWA, 0.11 ,,,,,,,,,
NF-Tums Chewable Tab 500MG,NF-TUMS CHEWA, 2.00 ,,,,,,,,,
NF-TUMS E-X CHEWABLE TAB 750MG,NF-TUMS E-X C, 2.51 ,,,,,,,,,
NF-TUMS REGULAR STRENGTH 500MG ORAL TABL,NF-TUMS REGUL, 0.11 ,,,,,,,,,
NF-TUMS ULTRA ORAL CHEW TAB 1000MG,NF-TUMS ULTRA, 0.24 ,,,,,,,,,
NF-TUSSIN DM SYRUP,NF-TUSSIN DM, 0.14 ,,,,,,,,,
NF-TWYNSTA ORAL TABLET 80MG-10MG,NF-TWYNSTA OR, 16.07 ,,,,,,,,,
NF-TYLENOL 8 HOUR TAB ER 650MG,NF-TYLENOL 8, 0.25 ,,,,,,,,,
NF-TYLENOL ARTHRITIS ORAL TABLET 650MG,NF-TYLENOL AR, 0.39 ,,,,,,,,,
NF-TYLENOL CHILDREN\'S 160MG/5ML ORAL SU,NF-TYLENOL CH, 0.14 ,,,,,,,,,
NF-TYLENOL EXTRA STRENGTH 500MG ORAL CAP,NF-TYLENOL EX, 0.49 ,,,,,,,,,
NF-TYLENOL EXTRA STRENGTH CAP 500MG,NF-TYLENOL EX, 0.58 ,,,,,,,,,
NF-TYLENOL EXTRA STRENGTH ORAL TAB 500MG,NF-TYLENOL EX, 0.58 ,,,,,,,,,
NF-TYLENOL EXTRA STRENGTH ORAL TABLET 50,NF-TYLENOL EX, 0.24 ,,,,,,,,,
NF-TYLENOL EXTRA STRENGTH ORAL TABLET 50,NF-TYLENOL EX, 0.32 ,,,,,,,,,
NF-TYLENOL EXTRA STRENGTH ORAL TABLET 50,NF-TYLENOL EX, 1.09 ,,,,,,,,,
NF-TYLENOL EXTRA STRENGTH TABLET 500MG,NF-TYLENOL EX, 0.59 ,,,,,,,,,
NF-TYLENOL PM EXTRA STRENGTH TABLET,NF-TYLENOL PM, 0.41 ,,,,,,,,,
NF-TYLENOL W/CODEINE,NF-TYLENOL W/, 4.83 ,,,,,,,,,
NF-TYLENOL W/CODEINE #4 300MG-60MG ORAL,NF-TYLENOL W/, 4.10 ,,,,,,,,,
NF-TYLENOL W/CODEINE #4 TABLET 300MG-60M,NF-TYLENOL W/, 4.31 ,,,,,,,,,
NF-TYLENOL-CODEINE #3 TAB 300MG-30MG,NF-TYLENOL-CO, 2.27 ,,,,,,,,,
NF-TYLENOL-CODEINE #4 TAB 300MG-60MG,NF-TYLENOL-CO, 7.09 ,,,,,,,,,
NF-ULORIC 80MG ORAL TABLET,NF-ULORIC 80M, 26.80 ,,,,,,,,,
NF-ULORIC ORAL TABLET 40MG,NF-ULORIC ORA, 21.27 ,,,,,,,,,
NF-ULORIC ORAL TABLET 40MG,NF-ULORIC ORA, 21.27 ,,,,,,,,,
NF-ULTRACET ORAL TABLET 37.5MG-325MG,NF-ULTRACET O, 5.70 ,,,,,,,,,
NF-ULTRACET ORAL TABLET 37.5MG-325MG,NF-ULTRACET O, 5.70 ,,,,,,,,,
NF-ULTRACET ORAL TABLET 37.5MG-325MG,NF-ULTRACET O, 9.89 ,,,,,,,,,
NF-ULTRAM 50MG ORAL TABLET,NF-ULTRAM 50M, 5.38 ,,,,,,,,,
"NF-ULTRAM ER 100MG ORAL TABLET, EXTENDED",NF-ULTRAM ER, 28.84 ,,,,,,,,,
NF-UNISOM 25MG ORAL TABLET,NF-UNISOM 25M, 2.41 ,,,,,,,,,
NF-URECHOLINE ORAL TABLET 10MG,NF-URECHOLINE, 10.74 ,,,,,,,,,
NF-UREX ORAL TABLET 1GM,NF-UREX ORAL, 4.94 ,,,,,,,,,
NF-URSODIOL CAP 300MG,NF-URSODIOL C, 11.37 ,,,,,,,,,
NF-URSODIOL ORAL TABLET 500MG,NF-URSODIOL O, 17.16 ,,,,,,,,,
NF-UTI CRANBERRY ORAL CAPSULE 480MG,NF-UTI CRANBE, 0.31 ,,,,,,,,,
NF-UTI-STAT ORAL SOLUTION,NF-UTI-STAT O, 0.12 ,,,,,,,,,
NF-VALACYCLOVIR HCL 1GM ORAL TABLET,NF-VALACYCLOV, 45.64 ,,,,,,,,,
NF-VALACYCLOVIR HCL ORAL TABLET 500MG,NF-VALACYCLOV, 26.08 ,,,,,,,,,
NF-VALERIAN CAPSULE 500MG,NF-VALERIAN C, 0.35 ,,,,,,,,,
NF-VALERIAN ROOT CAPSULE 500MG,NF-VALERIAN R, 0.18 ,,,,,,,,,
NF-VALIUM 10MG ORAL TABLET,NF-VALIUM 10M, 26.13 ,,,,,,,,,
NF-VALIUM TAB 2MG,NF-VALIUM TAB, 0.30 ,,,,,,,,,
NF-VALIUM TABLET 10MG,NF-VALIUM TAB, 0.80 ,,,,,,,,,
"NF-VALPROIC ACID 250MG ORAL CAPSULE, LIQ",NF-VALPROIC A, 3.72 ,,,,,,,,,
NF-VALSARTAN 160MG ORAL TABLET,NF-VALSARTAN, 18.82 ,,,,,,,,,
NF-VALSARTAN 160MG ORAL TABLET,NF-VALSARTAN, 23.80 ,,,,,,,,,
NF-VALSARTAN 80 MG ORAL TABLET,NF-VALSARTAN, 16.78 ,,,,,,,,,
NF-VALSARTAN 80 MG ORAL TABLET,NF-VALSARTAN, 17.50 ,,,,,,,,,
NF-VALSARTAN 80MG ORAL TABLET,NF-VALSARTAN, 16.25 ,,,,,,,,,
NF-VALSARTAN AND HYDROCHLOROTHIAZIDE 25M,NF-VALSARTAN, 44.35 ,,,,,,,,,
NF-VALSARTAN ORAL TABLET 40MG,NF-VALSARTAN, 14.04 ,,,,,,,,,
NF-VALSARTAN ORAL TABLET 80MG,NF-VALSARTAN, 17.50 ,,,,,,,,,
NF-VALSARTAN TAB 160MG,NF-VALSARTAN, 17.63 ,,,,,,,,,
NF-VALSARTAN TAB 160MG,NF-VALSARTAN, 20.07 ,,,,,,,,,
NF-VALSARTAN/HCTZ ORAL TABLET 160MG-12.5,NF-VALSARTAN/, 15.43 ,,,,,,,,,
NF-Valsartan/HCTZ Oral Tablet 320MG-12.5,NF-VALSARTAN/, 19.00 ,,,,,,,,,
NF-VALSARTAN-HYDROCHLOROTHIAZIDE 12.5MG-,NF-VALSARTAN-, 14.18 ,,,,,,,,,
NF-VALSARTAN-HYDROCHLOROTHIAZIDE 12.5MG-,NF-VALSARTAN-, 15.43 ,,,,,,,,,
NF-VALSARTAN-HYDROCHLOROTHIAZIDE 160MG-1,NF-VALSARTAN-, 15.43 ,,,,,,,,,
NF-VALTURNA ORAL TABLET 150MG-160MG,NF-VALTURNA O, 11.82 ,,,,,,,,,
NF-VANCOMYCIN HCL 125MG ORAL CAPSULE,NF-VANCOMYCIN, 113.01 ,,,,,,,,,
NF-VASCEPA LIQ CAP 1GM,NF-VASCEPA LI, 7.04 ,,,,,,,,,
"NF-VENLAFAXINE 150MG ORAL TABLET, EXTEND",NF-VENLAFAXIN, 16.09 ,,,,,,,,,
"NF-VENLAFAXINE 150MG ORAL TABLET, EXTEND",NF-VENLAFAXIN, 22.01 ,,,,,,,,,
NF-VENLAFAXINE 75MG ORAL TABLET,NF-VENLAFAXIN, 12.51 ,,,,,,,,,
NF-VENLAFAXINE EXTENDED-RELEASE TABLET 7,NF-VENLAFAXIN, 13.79 ,,,,,,,,,
NF-VENLAFAXINE EXTENDED-RELEASE TABLET 7,NF-VENLAFAXIN, 19.37 ,,,,,,,,,
"NF-VENLAFAXINE HCL 225MG ORAL TABLET, EX",NF-VENLAFAXIN, 48.88 ,,,,,,,,,
"NF-VENLAFAXINE HCL 75MG ORAL TABLET, EXT",NF-VENLAFAXIN, 28.19 ,,,,,,,,,
NF-VENLAFAXINE HCL CAP ER 150MG,NF-VENLAFAXIN, 39.97 ,,,,,,,,,
NF-VENLAFAXINE HCL ORAL CAP ER 75MG,NF-VENLAFAXIN, 16.84 ,,,,,,,,,
NF-VENLAFAXINE HCL ORAL TABLET 100MG,NF-VENLAFAXIN, 8.36 ,,,,,,,,,
NF-VENLAFAXINE HCL ORAL TABLET 100MG,NF-VENLAFAXIN, 8.36 ,,,,,,,,,
NF-VENLAFAXINE HCL ORAL TABLET 50MG,NF-VENLAFAXIN, 7.44 ,,,,,,,,,
NF-VENLAFAXINE HCL TAB 100MG,NF-VENLAFAXIN, 8.36 ,,,,,,,,,
NF-VENLAFAXINE HYDROCHLORIDE 75MG ORAL T,NF-VENLAFAXIN, 13.78 ,,,,,,,,,
NF-VENLAFAXINE HYDROCHLORIDE TAB ER 150M,NF-VENLAFAXIN, 15.02 ,,,,,,,,,
NF-VENLAFAXINE HYDROCHLORIDE TABLET 225M,NF-VENLAFAXIN, 57.37 ,,,,,,,,,
NF-VENTOLIN HFA INH SUSP 0.09MG/1ACT,NF-VENTOLIN H, 12.56 ,,,,,,,,,
NF-VENTOLIN HFA INH/NEB AER PWD 0.09MG/1,NF-VENTOLIN H, 8.14 ,,,,,,,,,
NF-VENTOLIN HFA INHALER 0.09MG/INH,NF-VENTOLIN H, 12.94 ,,,,,,,,,
NF-VENTOLIN HFA INHALER 0.09MG/INH,NF-VENTOLIN H, 14.35 ,,,,,,,,,
"NF-VERAPAMIL 120MG ORAL TABLET, EXTENDED",NF-VERAPAMIL, 3.87 ,,,,,,,,,
"NF-VERAPAMIL HCL 100MG ORAL CAPSULE, EXT",NF-VERAPAMIL, 7.08 ,,,,,,,,,
"NF-VERAPAMIL HCL 240MG ORAL TABLET, EXTE",NF-VERAPAMIL, 5.56 ,,,,,,,,,
"NF-VERAPAMIL HCL 360MG ORAL CAPSULE, EXT",NF-VERAPAMIL, 7.58 ,,,,,,,,,
NF-VERAPAMIL HCL CAP ER 180MG,NF-VERAPAMIL, 7.27 ,,,,,,,,,
NF-VERAPAMIL HCL CAP ER 300MG,NF-VERAPAMIL, 13.26 ,,,,,,,,,
NF-Verapamil Oral Tab ER 240MG,NF-VERAPAMIL, 7.00 ,,,,,,,,,
NF-VESICARE 10MG ORAL TABLET,NF-VESICARE 1, 41.70 ,,,,,,,,,
NF-VESICARE 5MG ORAL TABLET,NF-VESICARE 5, 33.93 ,,,,,,,,,
NF-VESICARE ORAL TABLET 10MG,NF-VESICARE O, 31.94 ,,,,,,,,,
NF-VESICARE ORAL TABLET 5MG,NF-VESICARE O, 21.37 ,,,,,,,,,
NF-VESICARE ORAL TABLET 5MG,NF-VESICARE O, 23.44 ,,,,,,,,,
NF-VESICARE TAB 10MG,NF-VESICARE T, 23.44 ,,,,,,,,,
NF-VIACTIV CALCIUM PLUS D 500MG-40MCG-50,NF-VIACTIV CA, 0.42 ,,,,,,,,,
NF-VICKS NYQUIL COLD&FLU 325MG-15MG-6.25,NF-VICKS NYQU, 1.08 ,,,,,,,,,
NF-VICKS VAPORUB 4.2%-1.2%-2.6% TOPICAL,NF-VICKS VAPO, 0.16 ,,,,,,,,,
NF-VICODIN TABLET,NF-VICODIN TA, 2.53 ,,,,,,,,,
NF-VICTOZA SUBCUTANEOUS SOLUTION 6MG/1ML,NF-VICTOZA SU, 187.76 ,,,,,,,,,
NF-Victoza Subcutaneous Solution 6MG/1ML,NF-VICTOZA SU, 418.00 ,,,,,,,,,
NF-Victoza Subcutaneous Solution 6MG/1ML,NF-VICTOZA SU, 418.00 ,,,,,,,,,
NF-VICTOZA SUBQ SOLN 6MG/1ML,NF-VICTOZA SU, 257.84 ,,,,,,,,,
NF-VIGAMOX OPHTH SOLN 0.5%,NF-VIGAMOX OP, 117.04 ,,,,,,,,,
NF-Vigamox Ophthalmic Solution 0.5%,NF-VIGAMOX OP, 237.00 ,,,,,,,,,
NF-VIIBRYD 40MG ORAL TABLET,NF-VIIBRYD 40, 18.48 ,,,,,,,,,
NF-VIIBRYD ORAL TABLET 20MG,NF-VIIBRYD OR, 17.11 ,,,,,,,,,
NF-VIMPAT / NS IVPB :  200MG/100ML,LACOSAMIDE /, 197.39 ,,,,,,,,,
NF-VIMPAT 200MG ORAL TABLET,NF-VIMPAT 200, 52.59 ,,,,,,,,,
NF-VIMPAT 50MG ORAL TABLET,NF-VIMPAT 50M, 31.72 ,,,,,,,,,
NF-VIMPAT IV SOLN 10MG/1ML,NF-VIMPAT IV, 13.02 ,,,,,,,,,
NF-VIMPAT ORAL SOLUTION 10MG/1ML,NF-VIMPAT ORA, 5.82 ,,,,,,,,,
NF-VIMPAT ORAL SOLUTION 10MG/1ML,NF-VIMPAT ORA, 6.75 ,,,,,,,,,
NF-VIMPAT ORAL SOLUTION 10MG/1ML,NF-VIMPAT ORA, 6.76 ,,,,,,,,,
NF-VIMPAT ORAL TABLET 100MG,NF-VIMPAT ORA, 41.79 ,,,,,,,,,
NF-VIMPAT ORAL TABLET 100MG,NF-VIMPAT ORA, 45.97 ,,,,,,,,,
NF-Vimpat Oral Tablet 100MG,NF-VIMPAT ORA, 54.00 ,,,,,,,,,
NF-Vimpat Oral Tablet 100MG,NF-VIMPAT ORA, 54.00 ,,,,,,,,,
NF-VIMPAT ORAL TABLET 150MG,NF-VIMPAT ORA, 57.73 ,,,,,,,,,
NF-Vimpat Oral Tablet 200MG,NF-VIMPAT ORA, 57.00 ,,,,,,,,,
NF-VIMPAT ORAL TABLET 50MG,NF-VIMPAT ORA, 18.40 ,,,,,,,,,
NF-Vimpat Oral Tablet 50MG,NF-VIMPAT ORA, 34.00 ,,,,,,,,,
NF-Vimpat Oral Tablet 50MG,NF-VIMPAT ORA, 37.00 ,,,,,,,,,
NF-VIMPAT ORAL TABLET 50MG,NF-VIMPAT ORA, 41.04 ,,,,,,,,,
NF-VIMPAT TAB 200MG,NF-VIMPAT TAB, 30.60 ,,,,,,,,,
NF-VIREAD 300MG ORAL TABLET,NF-VIREAD 300, 126.08 ,,,,,,,,,
NF-VIRTUSSIN A/C ORAL SOLN 10MG-100MG/5M,NF-VIRTUSSIN, 0.36 ,,,,,,,,,
NF-VIRT-VITE FORTE TAB 2MG-2.5MG-25MG,NF-VIRT-VITE, 3.28 ,,,,,,,,,
NF-VISION VITAMINS WITH LUTEIN TABLET,NF-VISION VIT, 0.49 ,,,,,,,,,
NF-VISTARIL 25MG ORAL CAPSULE,NF-VISTARIL 2, 9.86 ,,,,,,,,,
NF-VISTARIL 50MG ORAL CAPSULE,NF-VISTARIL 5, 9.80 ,,,,,,,,,
NF-VITABASIC SENIOR TABLET,NF-VITABASIC, 0.11 ,,,,,,,,,
NF-VITAL-D RX TAB 60MG-300MCG-1750IU-6MC,NF-VITAL-D RX, 1.28 ,,,,,,,,,
NF-VITAMIN A & D CAPSULE,NF-VITAMIN A, 0.17 ,,,,,,,,,
NF-VITAMIN A & D CAPSULE,NF-VITAMIN A, 0.26 ,,,,,,,,,
NF-VITAMIN A & D NATURAL CAPSULE,NF-VITAMIN A, 0.13 ,,,,,,,,,
NF-VITAMIN A & D TABLET,NF-VITAMIN A, 0.17 ,,,,,,,,,
"NF-VITAMIN A CAPSULE 10,000IU",NF-VITAMIN A, 0.09 ,,,,,,,,,
NF-VITAMIN B COMPLEX + C CAPSULE,NF-VITAMIN B, 0.10 ,,,,,,,,,
NF-VITAMIN B COMPLEX 100 2MG-100MG-2MG-2,NF-VITAMIN B, 3.45 ,,,,,,,,,
NF-VITAMIN B COMPLEX 100 INJECTION,NF-VITAMIN B, 1.17 ,,,,,,,,,
NF-VITAMIN B COMPLEX 10MG-10MG-0.2MG-2MG,NF-VITAMIN B, 0.02 ,,,,,,,,,
NF-VITAMIN B COMPLEX CAPSULE,NF-VITAMIN B, 0.31 ,,,,,,,,,
NF-VITAMIN B COMPLEX ORAL CAPSULE,NF-VITAMIN B, 0.11 ,,,,,,,,,
NF-VITAMIN B COMPLEX ORAL CAPSULE,NF-VITAMIN B, 0.14 ,,,,,,,,,
NF-VITAMIN B COMPLEX ORAL TABLET,NF-VITAMIN B, 0.34 ,,,,,,,,,
NF-VITAMIN B COMPLEX TABLET,NF-VITAMIN B, 0.04 ,,,,,,,,,
NF-VITAMIN B COMPLEX W/B12 TABLET,NF-VITAMIN B, 0.39 ,,,,,,,,,
NF-VITAMIN B COMPLEX WITH B12 ORAL TABLE,NF-VITAMIN B, 0.14 ,,,,,,,,,
NF-VITAMIN B-1 ORAL TABLET 50MG,NF-VITAMIN B-, 0.08 ,,,,,,,,,
NF-VITAMIN B-100 NATURAL TABLET,NF-VITAMIN B-, 0.59 ,,,,,,,,,
NF-VITAMIN B12 1000MCG ORAL TABLET,NF-VITAMIN B1, 0.08 ,,,,,,,,,
NF-VITAMIN B12 1000MCG ORAL TABLET,NF-VITAMIN B1, 0.18 ,,,,,,,,,
NF-VITAMIN B12 1000MCG ORAL TABLET,NF-VITAMIN B1, 0.22 ,,,,,,,,,
NF-VITAMIN B12 1000MCG ORAL TABLET,NF-VITAMIN B1, 0.60 ,,,,,,,,,
"NF-VITAMIN B12 1000MCG ORAL TABLET, EXTE",NF-VITAMIN B1, 0.38 ,,,,,,,,,
NF-VITAMIN B12 1000MCG SUBLINGUAL TABLET,NF-VITAMIN B1, 0.19 ,,,,,,,,,
NF-VITAMIN B12 1000MCG SUBLINGUAL TABLET,NF-VITAMIN B1, 0.46 ,,,,,,,,,
NF-VITAMIN B12 250 MCG ORAL TABLET,NF-VITAMIN B1, 0.12 ,,,,,,,,,
NF-VITAMIN B12 500MCG ORAL TABLET,NF-VITAMIN B1, 0.17 ,,,,,,,,,
NF-Vitamin B12 Injection 1000mcg/ML,NF-VITAMIN B1, 2.00 ,,,,,,,,,
NF-VITAMIN B12 ORAL TABLET 1000MCG,NF-VITAMIN B1, 0.21 ,,,,,,,,,
NF-VITAMIN B12 ORAL TABLET 100MCG,NF-VITAMIN B1, 0.66 ,,,,,,,,,
NF-VITAMIN B-12 ORAL TABLET 100MCG,NF-VITAMIN B-, 0.08 ,,,,,,,,,
NF-VITAMIN B-12 ORAL TABLET 500MCG,NF-VITAMIN B-, 0.13 ,,,,,,,,,
NF-VITAMIN B-12 SUBLINGUAL TABLET 1000MC,NF-VITAMIN B-, 0.46 ,,,,,,,,,
NF-VITAMIN B12 TABLET 100MCG,NF-VITAMIN B1, 0.18 ,,,,,,,,,
NF-VITAMIN B12 TABLET 100MCG,NF-VITAMIN B1, 0.18 ,,,,,,,,,
NF-VITAMIN C 1000MG ORAL TABLET,NF-VITAMIN C, 0.13 ,,,,,,,,,
"NF-VITAMIN C 500MG ORAL TABLET, CHEWABLE",NF-VITAMIN C, 0.23 ,,,,,,,,,
NF-VITAMIN C ORAL TABLET 1000MG,NF-VITAMIN C, 0.57 ,,,,,,,,,
NF-VITAMIN C TABLET 1000MG,NF-VITAMIN C, 0.42 ,,,,,,,,,
NF-VITAMIN D 1000IU ORAL TABLET,NF-VITAMIN D, 0.10 ,,,,,,,,,
NF-VITAMIN D 1000IU ORAL TABLET,NF-VITAMIN D, 0.35 ,,,,,,,,,
NF-VITAMIN D 1000IU ORAL TABLET,NF-VITAMIN D, 1.30 ,,,,,,,,,
"NF-VITAMIN D 2000IU ORAL CAPSULE, LIQUID",NF-VITAMIN D, 0.16 ,,,,,,,,,
"NF-VITAMIN D 50,000IU ORAL CAPSULE, LIQU",NF-VITAMIN D, 9.79 ,,,,,,,,,
"NF-VITAMIN D 50000IU ORAL CAPSULE, LIQUI",NF-VITAMIN D, 7.12 ,,,,,,,,,
"NF-VITAMIN D 50000IU ORAL CAPSULE, LIQUI",NF-VITAMIN D, 21.09 ,,,,,,,,,
NF-VITAMIN D 5000IU ORAL CAPSULE,NF-VITAMIN D, 0.42 ,,,,,,,,,
"NF-VITAMIN D CAP, LIQUID-FILLED 50000IU",NF-VITAMIN D, 7.12 ,,,,,,,,,
NF-VITAMIN D CAPSULE 400IU,NF-VITAMIN D, 0.18 ,,,,,,,,,
"NF-VITAMIN D CAPSULE 50,000IU",NF-VITAMIN D, 0.72 ,,,,,,,,,
"NF-VITAMIN D CAPSULE 50,000IU",NF-VITAMIN D, 0.72 ,,,,,,,,,
"NF-VITAMIN D CAPSULE 50,000IU",NF-VITAMIN D, 0.72 ,,,,,,,,,
NF-Vitamin D Oral Capsule 50000IU,NF-VITAMIN D, 5.00 ,,,,,,,,,
NF-Vitamin D Oral Capsule 50000IU,NF-VITAMIN D, 5.00 ,,,,,,,,,
NF-Vitamin D Oral Capsule 50000IU,NF-VITAMIN D, 5.00 ,,,,,,,,,
NF-VITAMIN D ORAL CAPSULE 50000IU,NF-VITAMIN D, 5.26 ,,,,,,,,,
NF-VITAMIN D ORAL CAPSULE 5000IU,NF-VITAMIN D, 0.22 ,,,,,,,,,
NF-VITAMIN D ORAL TABLET 1000IU,NF-VITAMIN D, 0.10 ,,,,,,,,,
NF-VITAMIN D ORAL TABLET 1000IU,NF-VITAMIN D, 0.10 ,,,,,,,,,
NF-VITAMIN D ORAL TABLET 1000IU,NF-VITAMIN D, 0.10 ,,,,,,,,,
NF-VITAMIN D ORAL TABLET 1000IU,NF-VITAMIN D, 0.10 ,,,,,,,,,
NF-VITAMIN D ORAL TABLET 1000IU,NF-VITAMIN D, 0.10 ,,,,,,,,,
NF-VITAMIN D ORAL TABLET 1000IU,NF-VITAMIN D, 0.20 ,,,,,,,,,
NF-VITAMIN D ORAL TABLET 1000IU,NF-VITAMIN D, 2.01 ,,,,,,,,,
NF-VITAMIN D ORAL TABLET 2000IU,NF-VITAMIN D, 0.13 ,,,,,,,,,
NF-Vitamin D Oral Tablet 5000IU,NF-VITAMIN D, 6.00 ,,,,,,,,,
NF-VITAMIN D ORAL TABLET 5000IU,NF-VITAMIN D, 6.63 ,,,,,,,,,
NF-VITAMIN D2 ORAL TABLET 2000IU,NF-VITAMIN D2, 0.23 ,,,,,,,,,
NF-VITAMIN D2 TABLET 400IU,NF-VITAMIN D2, 0.10 ,,,,,,,,,
"NF-VITAMIN D3 2000IU ORAL CAPSULE, LIQUI",NF-VITAMIN D3, 0.65 ,,,,,,,,,
"NF-VITAMIN D3 2000IU ORAL CAPSULE, LIQUI",NF-VITAMIN D3, 0.90 ,,,,,,,,,
NF-VITAMIN D3 LIQUID-FILLED CAPSULE 2000,NF-VITAMIN D3, 0.25 ,,,,,,,,,
NF-VITAMIN D3 LIQUID-FILLED CAPSULE 2000,NF-VITAMIN D3, 0.65 ,,,,,,,,,
NF-VITAMIN D3 ORAL TABLET 1000IU,NF-VITAMIN D3, 0.10 ,,,,,,,,,
NF-VITAMIN D3 ORAL TABLET 1000IU,NF-VITAMIN D3, 0.10 ,,,,,,,,,
NF-VITAMIN D3 ORAL TABLET 5000IU,NF-VITAMIN D3, 0.22 ,,,,,,,,,
NF-VITAMIN D3 ORAL TABLET 5000IU,NF-VITAMIN D3, 5.00 ,,,,,,,,,
NF-VITAMIN D3 TABLET 1000IU,NF-VITAMIN D3, 0.08 ,,,,,,,,,
NF-VITAMIN E 100 IU ORAL TABLET,NF-VITAMIN E, 0.22 ,,,,,,,,,
"NF-VITAMIN E 1000IU ORAL CAPSULE, LIQUID",NF-VITAMIN E, 0.92 ,,,,,,,,,
NF-VITAMIN E 400 IU ORAL TABLET,NF-VITAMIN E, 0.33 ,,,,,,,,,
NF-VITAMIN E 400 IU ORAL TABLET,NF-VITAMIN E, 0.41 ,,,,,,,,,
NF-VITAMIN E 400 IU ORAL TABLET,NF-VITAMIN E, 0.50 ,,,,,,,,,
NF-VITAMIN E ACETATE CAPSULE 400IU,NF-VITAMIN E, 0.25 ,,,,,,,,,
NF-VITAMIN E CAPSULE 1000IU,NF-VITAMIN E, 0.56 ,,,,,,,,,
NF-VITAMIN E CAPSULE 1000IU,NF-VITAMIN E, 0.56 ,,,,,,,,,
NF-VITAMIN E CAPSULE 1000IU,NF-VITAMIN E, 0.56 ,,,,,,,,,
NF-VITAMIN E CAPSULE 1000IU,NF-VITAMIN E, 1.18 ,,,,,,,,,
NF-VITAMIN E CAPSULE 1000IU,NF-VITAMIN E, 1.38 ,,,,,,,,,
NF-VITAMIN E CAPSULE 100IU,NF-VITAMIN E, 0.05 ,,,,,,,,,
NF-VITAMIN E CAPSULE 200IU,NF-VITAMIN E, 0.14 ,,,,,,,,,
NF-VITAMIN E CAPSULE 400IU,NF-VITAMIN E, 0.42 ,,,,,,,,,
NF-VIVACTIL 10MG ORAL TABLET,NF-VIVACTIL 1, 2.90 ,,,,,,,,,
NF-VOLTAREN GEL 1%,NF-VOLTAREN G, 1.31 ,,,,,,,,,
NF-VOLTAREN GEL 1%,NF-VOLTAREN G, 1.67 ,,,,,,,,,
NF-VOLTAREN GEL 1%,NF-VOLTAREN G, 1.78 ,,,,,,,,,
NF-VOLTAREN GEL 1%,NF-VOLTAREN G, 1.78 ,,,,,,,,,
NF-VOLTAREN GEL 1%,NF-VOLTAREN G, 1.78 ,,,,,,,,,
NF-VOLTAREN GEL 1%,NF-VOLTAREN G, 1.78 ,,,,,,,,,
NF-VOLTAREN GEL 1%,NF-VOLTAREN G, 2.69 ,,,,,,,,,
NF-VOLTAREN GEL 1%,NF-VOLTAREN G, 4.05 ,,,,,,,,,
NF-VOLTAREN GEL 1% TOPICAL APPLICATION G,NF-VOLTAREN G, 1.31 ,,,,,,,,,
NF-VOLTAREN GEL 1% TOPICAL APPLICATION G,NF-VOLTAREN G, 1.79 ,,,,,,,,,
NF-VOLTAREN GEL 1% TOPICAL APPLICATION G,NF-VOLTAREN G, 1.79 ,,,,,,,,,
NF-VOLTAREN GEL 1% TOPICAL APPLICATION G,NF-VOLTAREN G, 2.13 ,,,,,,,,,
NF-VOLTAREN GEL TOPICAL GEL 1%,NF-VOLTAREN G, 0.95 ,,,,,,,,,
NF-VOLTAREN GEL TOPICAL GEL 1%,NF-VOLTAREN G, 1.87 ,,,,,,,,,
NF-VOLTAREN OPHTH SOLN 0.1%,NF-VOLTAREN O, 59.20 ,,,,,,,,,
NF-VOTRIENT ORAL TABLET 200MG,NF-VOTRIENT O, 300.24 ,,,,,,,,,
