,,,,,,,,,,,
Service or Items Charge Description,Short Description, Estimated Charge ,,Disclaimer:  These charge amounts are an estimate. The charge amounts you receive for the services provided may vary.,,,,,,,
ANCHOR SUTURE 4.5,ANCHOR SUTURE," 1,380.00 ",,,,,,,,,
ANCHOR SUTURE 4.5 W/COBRAID,ANCHOR SUTURE," 1,380.00 ",,,,,,,,,
ANCHOR SUTURE 4.75 HEALICOIL,ANCHOR SUTURE, 780.00 ,,,,,,,,,
ANCHOR SUTURE 4.75 HEALICOIL W/2 UB-BL,ANCHOR SUTURE," 1,360.00 ",,,,,,,,,
ANCHOR SUTURE 4.75X24.5MM,ANCHOR SUTUR," 2,002.00 ",,,,,,,,,
ANCHOR SUTURE 4.75X24.5MM,ANCHOR SUTUR," 2,288.00 ",,,,,,,,,
ANCHOR SUTURE 5.0 CORKSCREW,ANCHOR SUTUR," 1,414.00 ",,,,,,,,,
ANCHOR SUTURE 5.5 FOOTPRINT,ANCHOR SUTURE," 1,331.00 ",,,,,,,,,
ANCHOR SUTURE 5.5 KNOTLESS,ANCHOR SUTURE," 1,700.00 ",,,,,,,,,
ANCHOR SUTURE BIO SWIVELOCK,ANCHOR SUTUR," 1,901.00 ",,,,,,,,,
ANCHOR SUTURE BIO SWIVELOCK,ANCHOR SUTUR," 2,002.00 ",,,,,,,,,
ANCHOR SUTURE SOFT,ANCHOR SUTURE," 1,440.00 ",,,,,,,,,
ANCHOR SUTURE SOFT 1.4MM,ANCHOR SUTURE," 1,922.00 ",,,,,,,,,
ANCHOR SUTURE SOFT 2.9MM,ANCHOR SU," 1,376.00 ",,,,,,,,,
ANCHOR SWVLCK BIOCOMP 4.75X19.1MM,ANCHOR SWVLCK," 2,688.00 ",,,,,,,,,
ANCHOR SWVLCK BIOCOMP 4.75X19.1MM,ANCHOR SWVLK," 2,288.00 ",,,,,,,,,
ANDROSTENEDIONE,ANDROSTENEDIO, 193.00 ,,,,,,,,,
ANES NON INVASIVE IMAGING,ANES NON INVA, 77.00 ,,,,,,,,,
ANES PROCEDURE IN LUMBAR REGIO,ANES PROCEDUR, 77.00 ,,,,,,,,,
