ALLOGRAFT CERV PARALLEL 7X7MM VG2,"$6,875.21 "
ALLOGRAFT CERV PARALLEL 8X8MM VG2,"$6,875.21 "
ALLOGRAFT CERV PARALLEL 9X9MM VG2,"$6,875.21 "
ALLOGRAFT CHONDROFIX 11MM,"$11,417.30 "
ALLOGRAFT CHONDROFIX 7MM,"$8,667.60 "
ALLOGRAFT CHONDROFIX 9MM,"$10,760.10 "
ALLOGRAFT CORTICAL CANCELLOUS 6MM,"$5,557.50 "
ALLOGRAFT CORTICAL CANCELLOUS 7MM,"$5,557.50 "
ALLOGRAFT CORTICAL CANCELLOUS 8MM,"$5,557.50 "
ALLOGRAFT C-PLUG 4-DEGREES W/5MM PLUG BIO AVS,"$5,557.50 "
ALLOGRAFT LUMBAR  14.75 MM,"$9,853.35 "
ALLOGRAFT LUMBAR 10.75MM,"$9,853.35 "
ALLOGRAFT LUMBAR 12.75MM,"$9,853.35 "
ALLOGRAFT LUMBAR 16.75MM,"$9,853.35 "
ALLOGRAFT LUMBAR 18.75MM,"$9,853.35 "
ALLOGRAFT LUMBAR 20.75MM,"$9,853.35 "
ALLOGRAFT PLATE FEM LARGE 2.3X21CM,"$5,031.00 "
ALLOGRAFT PRE-SHAPED 10/10MM BIOCLEANSE BTB SELECT,"$11,160.00 "
ALLOGRAFT SHAFT FIBULA 60X14-18,"$3,574.35 "
ALLOGRAFT TALUS RIGHT FOOT + ANKLE,"$20,150.00 "
ALLOOSS CANCELLOUS PARTIC 1CC 1000MICR,$828.42 
ALLOOSS CORTICAL PARTICULATE .5CC,$628.60 
ALLOOSS CORTICO CANCELLOUS .5CC,$628.60 
allopurinol 100 mg tablet 1 each BLIST PACK,$3.85 
"allopurinol 100 mg tablet 1,000 each Bottle",$4.45 
allopurinol 300 mg tablet 100 each BLIST PACK,$9.62 
alpha 1 proteinase inhibitor per 10 mg,"$5,105.00 "
ALPRAZolam 0.25 mg tablet 1 each BLIST PACK,$6.66 
ALPRAZolam 0.25 mg tablet 100 each BLIST PACK,$0.57 
ALPRAZolam 0.25 mg tablet 100 each Bottle,$7.10 
ALPRAZolam 0.5 mg tablet 1 each BLIST PACK,$4.06 
ALPRAZolam 0.5 mg tablet 100 each BLIST PACK,$3.88 
ALPRAZolam 0.5 mg tablet 100 each Bottle,$4.89 
alprostadil per 1 mL,"$1,210.64 "
alteplase 2 mg recon soln 2 mg Vial,"$1,562.74 "
alteplase per 1 mg,"$89,851.68 "
"alum (30 g/100 mL) 3,000 mL Bag",$17.46 
"alum, ammonium (bulk) powder 340 g Jar",$204.81 
aluminum hydroxide 320 mg/5 mL suspension 30 mL Cup,$2.14 
aluminum hydroxide 320 mg/5 mL suspension 473 mL Bottle,$57.95 
aluminum hydrox-magnesium carb 95-358 mg/15 mL suspension 355 mL Bottle,$2.60 
"aluminum sulfate-calcium acetate 952-1,347 mg powder in packet 12 each Packet",$6.80 
alum-mag hydroxide-simeth 200-200-20mg/5mL suspension 30 mL Cup,$14.24 
alum-mag hydroxide-simeth 200-200-20mg/5mL suspension 355 mL Bottle,$1.23 
ALUWAX DENTURE 2.75X5.75 45OZ,$113.91 
AMALGAM RECYCLE KIT ONLY NO FILTER,"$1,105.35 "
amantadine 100 mg capsule 100 each Bottle,$20.61 
amantadine 50 mg/5 mL solution 473 mL Bottle,$743.72 
AMERICATH LAP CHOLE 5MMX23CM,$749.70 
amikcain per 100 mg,$125.13 
