"Ketchikan, AK",,
PeaceHealth:  Ketchikan Medical Center,,
Hospital department charges for Services and Supplies,,
,,
,,
Charge Code,Short Description,Charge Each
134716,LAC REP 2.5 OR LESS MOUTH TONGUE,"1,106"
134724,DRAIN ABSCESS DENTOALVEOLAR,"1,233"
134734,I&D PERITONSILLAR ABSCESS,529
134752,INSERT NASOGASTRIC TUBE W/MD,347
134766,I&D PERIANAL ABSCESS SUPERFICIAL,"1,762"
134772,EXCISN THROMBOSED EXT HEMORRHOID,"2,715"
134774,ANOSCOPY DIAGNOSTIC,365
134780,ABD PARACENTESIS DIAG OR THER WO IMG,780
133184,PARACENTESIS W/IMAGING GUIDANCE,"1,672"
219819,PLACEMENT URETERAL STENT PRQ NEW ACCESS,"2,832"
133226,SUPRAPUBIC CATHETER INSERTION,"2,937"
132004,INJECTION FOR BLADDER,"1,378"
133528,XR URETHROCYSTOGRAM RETRO INJECT,370
134786,BLADDER IRRIGATION SIMP,265
134788,INSERT NON-INDWELLING CATH,217
134790,INSERT TEMP INDWELLING CATH-SIMP,286
132562,TREATMENT OF BLADDER LESION,279
134796,ULTRASOUND BLADDER SCANNER,118
133532,CIRCUMCISION,"1,781"
206856,CT PROSTATE BIOPSY SURG,"1,781"
134820,I&D VULVA OR PERINEAL ABSCESS,306
134838,DILATION AND CURETTAGE,"2,387"
134840,REMOVAL OF IUD,269
132006,HYSTEROSALPINGOGRAM INJ,809
135522,FETAL NON STRESS TEST,715
135792,"EXTERNAL VERSION W/,W/O TOCOLYSIS","2,387"
133682,THYROID BIOPSY,602
134856,LUMBAR PUNCTURE DIAGNOSTIC,579
134858,INJ EPIDURAL OF BLOOD PATCH,620
134860,INJ ANESTHETIC AGNT TRIGEMINAL,435
134864,INJ ANESTHETIC AGNT OTHR PERIP NRV,570
134868,FB REM EXERNAL EYE CONJUN SUPERFI,168
134872,FB REM CORNEAL WO SLIT LAMP,347
134874,FB REM CORNEAL W SLIT LAMP,207
134890,DRAIN EXT EAR ABSCESS HEMATOMA SIMP,963
134896,FB REM EXTERNAL AUDITORY W/O ANES,508
221963,REMOVAL IMPACTED CERUMEN IRRIGATION/LVG UNILAT,261
134898,REMOVAL IMPACTED CERUMEN,179
132844,CT BRAIN W/O CONTRAST,"1,982"
132768,CT BRAIN W/ CONTRAST,"2,656"
132770,CT BRAIN W/O&W CONTRAST,"3,192"
132772,CT ORBIT SELLA P FOSS W/O CONTRAST,"3,839"
132774,CT ORBIT SELLA P FOSS W/ CONTRAST,"3,789"
132776,CT MAXILLOFACIAL W/OUT CONTRAST,"2,819"
132848,CT MAXILLOFACIAL W/ CONTRAST,"3,791"
132850,CT MAXILLOFACIAL W/O&W CONTRAST,"3,904"
132778,CT NECK SOFT TISSUE W/O CONTRAST,"2,660"
132780,CT NECK SOFT TISSUE W/ CONTRAST,"3,359"
132854,CT NECK SOFT TISS W/O&W CONTRAST,"3,740"
132852,CT ANGIO HEAD,"6,577"
132856,CT ANGIO NECK,"6,824"
132858,CT THORAX W/O CONTRAST,"2,468"
132860,CT THORAX W/ CONTRAST,"3,283"
132862,CT THORAX W/O&W CONTRAST,"3,749"
132864,CT ANGIO THORAX,"5,048"
