"Victor Valley Global Global Medical Center
OSHPD No. 106361370
Chargemaster 06-30-2018",,,,,,
CDM#,CDM Description,Facility,gl_account_id,Rev Code,Price,CPT/HCPCS
D7455,DRILL BIT 1.5MM LT. GREEN,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,272,614,
D7456,MULTI-PIN CLAMP MICRO LENGHTENER,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,272,3386,
D7457,FORCEP ENDOMYOCARDIAL BIOPSY,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,272,775,
D7458,CATH MODEL 7FR MACH 1 HS,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,272,181,
D7459,CATH 7FR 100 CM JR4.0/EBU3.5,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,272,145,
D7460,TEMP FIX PIN 1.4MM,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,272,386,
D7461,PIN STEINMAN 3.2,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,272,7,
D7462,QUICK-VAC MIXING BOWL,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,272,426,
D7463,SHAVER SYNOVATOR PLATINUM,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,272,265,
D7465,DRILL 2.45MM,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,272,934,
D7466,PIN TEMP FIX 1.4MM,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,272,482,
D7467,DRILL BIT 2.5MM,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,272,1122,
D7468,K-WIRE 1.6MM,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,272,696,
D7469,DRILL BIT 3.5X60MM,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,272,643,
D7470,EVERCROSS .035OTWPTA 5MM X 200MM,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,272,742,
D7471,SCORPION NEEDLE KNEE,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,272,643,
D7472,HEX SCREW DRIVE SHAFT 2.5MM,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,272,825,
D7474,DRILL 2.5MM FOR HUMERAL SUTR PLATE,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,272,261,
D7475,FIBERLOOP,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,272,148,
D7476,IMPACTOR TIP,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,272,383,
D7477,DRILL BIT 2.2,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,272,957,
D7478,BONE CUTTER 4.5,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,272,265,
D7479,GUIDE WIRE,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,272,416,
D7480,WALK BOOT PNEUMATIC/VAC,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,274,954,L4361
D7481,BOOT PROTO STATIC OR SYNAMIC AFO,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,274,346,L4396
D7482,ABLATOR AMBIENT COVAC 50 DEG,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,272,1457,
D7483,RAP ACL PAC DISPOSABLE,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,272,1095,
D7484,BIO-DUTURETAK DISP. KIT W/METAL SPEAR,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,272,756,
D7485,"SUTURELASSO, 25DEG TIGHT CURVE LT",VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,272,462,
D7486,STAPLER HEMORROID & PROLAPSE,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,272,1211,
D7487,CATH CHOCOLATE BALLOON 5.0MM,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,272,2755,
D7488,SAFESHEATH II 9FR 13CM,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,272,171.6,
D7489,DRILL BILL,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,272,4,
D7490,DRILL BIT CANNULATED SZ-5.5MM,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,272,2072,
D7491,CANNISTER 3000CC HI-FLOW STERILE,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,272,16,
D7492,BLASE SAW RECIPROCATING STRYKER,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,272,271,
D7493,BLADE SAW KEEL RECIPROCARING STRYKER,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,272,874,
D7494,KIT SINGLE USE MANIFOLD W/XDUCER STRL,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,272,54,
D7495,KIT AT-P65 PREMIUM HAND CONTROLLER STRL,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,272,80,
D7496,KIT MULTI-USE SYRINGE (A2000) STRL,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,272,71,
D7497,KIT STABILIZATION SHOULDER,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,272,166,
D7498,SPIDER II POSITIONER,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,272,1303,
D7499,MICRPBLATOR 30 ICW,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,272,1442,
D7500,DRILL BIT ACET,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,272,214,
D7501,TACS (HOLD SCREW TO BONE),VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,272,410,
D7502,CATH SOFTVIEW RIM SZ 5F/65CM/.035,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,272,53,
D7503,K-WIRE,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,272,67,
D7504,DRILL LONG MINI-MOD,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,272,607,
D7505,TAP SCREW W/AO QC (NOT IMPLANT),VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,272,630,
D7506,X-WIRE 100X 1.6MM,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,272,509,
D7507,SHARP DRILL BIT DIA AO LG 70,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,272,266,
D7508,DRILL DISPOSSABLE INCONIX,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,577,
D7509,VACUUM ADDISTED BIOPSY DEVICE,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,272,636,
D7510,BIOPSY DEVICE INTRODUCER,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,272,51,
D7511,TITANIUM BIOPSY SITE MARKER,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,272,222,
D7512,LIGA SURE SEALED VESSEL DIVIDER,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,272,1974,
D7513,SENTRANT HYDRO SHEATH,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,272,495,
D7514,K-WIRE/PIN HALF BAY NS SINGLE,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,272,148,
D7515,ROB BIOARCH ALIGNMENT,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,272,307,
D7516,BLADE AM SURGICAL SINGLE PK STRL,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,272,3046,
D7517,SWANSON TRAPEZIUM DISP  SIZER,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,272,2963,
D7518,PEVENA CUSTOMIZABLE DRESSING,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,272,1571,
D7519,DRILL BIT,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,272,422,
D7520,GUIDEWIRE MAGIC TORQUE,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,272,194,
D7521,MM-K-WIRE 2.5MM/200MM,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,272,259,C1769
D7522,"MM-DRILL MECHE A0-D 2,7 X L125MM",VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,272,862,
D7523,GUIDEWIRE AMPLATZ STIFF,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,272,67,
D7524,CATH DIALYSIS 19X36 PALINDRONE,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,272,1472,
D7525,CATH PALINDRONE 23X40,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,272,1732,
D7526,DEVICE DIAMOND BACK 360 1.25MM SOLID,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,272,11203,
D7527,PTA DILATION CATHETER,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,272,990,
D7528,TUBING INSUFLATION HIGH FLOW,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,272,140,
D7529,ULTRA CLIP DUAL TRIGGER BREAST MARKER,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,272,244,
D7530, LIGASURE MARYLAND 44CM,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,272,2216,
D7531,DRILL BIT 1/8 INCH QUICK RELEASE,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,272,234,
D7532,PRO BONE SPIKE SHORT,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,272,190,
D7533,KIT PREP FOR FEMORAL BONE CEMENT,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,272,934,
D7534,DRILL BIT,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,272,556,
D7535,DRILL BIT,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,272,541,
D7536,BONE BIOPSY NEEDLE,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,272,478,
D7537,LIGASURE IMPACT CURVED JAW OPEN,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,272,2668,
D7538,STABILIZER WIRE,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,272,363,
D7539,NATRELLE INSPIRA MODPROF SIZER 600CC,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,272,693,
D7540,NATRELLE INSPIRA FULLPROF SIZER 605CC,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,272,693,
D7541,DRILL NOT CANNULATED,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,272,874,
D7542,ULTRA BUTTON ADJUSTABLE DEVICE,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,272,1303,
D7543,KIT PREPARATION FOR FEM BONE CEMENT,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,272,560,
D7544,TROCAR XCEL BLUNT TIP,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,272,190,
D7545,DRILL SHORT 1.8MM W/AO QC,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,272,455,
D7546,2.0 DRILL BIT,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,272,630,
D7547,LEAD CAP (BK-IS),VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,272,155,
D7548,LIGA SURE MARYLAND 23 CM,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,272,1974,
D7549,DRILL CROWE POINT TWIST,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,272,950,
D7550,GUIDE WIRE GOLD,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,272,752,
D7551,DEVICE TEMNO EVOLUTION SZ 18G X 6CM,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,272,110,
D7552,DEVICE TEMNO EVOLUTION SZ 18G X 11CM INT,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,272,154,
D7553,DEVICE TEMNO EVOLUTION SZ 20G X 6CM,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,272,116,
D7554,DEVICE TEMNO EVOLUTION SZ 20G X 11CM,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,272,169,
D7555,DRILL SUTURE FIX 1.7MM,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,272,693,
D7556,FINGERSHIELDS FOR TIGHTING SUTURE,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,272,165,
D7557,CATH DUAL LUMEN CENTRAL VENOUS,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,272,901,
D7558,ACROMONIZER,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,272,122,
D7559,HEMOSPLIT LONG TERM HEMODYALIS CATH,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,272,982,
D7560,GELPORT LAPAROSCOPIC SYSTEM,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,272,1881,
D7561,FLIP CUTTER II,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,272,1534,
D7562,DRILL CANNULATED SZ 10.5MM,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,272,907,
D7563,DRILL CANNULATED SZ 4.5MM,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,272,921,
D7564,CATH ELITE CROSS SUPPORT,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,272,587,
D7565,CATH SABER PTA DILATION,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,272,1204,
D7566,CVP MONITORING EXTENSION SET,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,272,25,
D7567,EVERCROSS .035 OTWPTA,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,272,742,
D7568,DEPTH REAMER 2.0MM STERILE,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,272,1287,
D7569,DRILL 2.65MM CANNULATED,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,272,957,
D7570,SIZER NATRELLE INSPIRA,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,272,693,
D7571,DRILL,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,272,1270,
D7572,GUIDWIRE 3.2,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,272,594,
D7573,GUIDEWIRE 2.2,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,272,736,
D7574,BIOSENTRY TRACT SINT SYSTEM US,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,272,907,
D7575,ENDO GIA RELOAD W/TRI STAPLE 60MM,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,272,915,
D7576,ENDO GIA RELOAD W/TRI STAPLE 30MM,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,272,597,
D7577,ENDO STAPLING HANDLE,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,272,378,
D7578,CATH CHOCOLATE BALLOON SZ 5.0MM,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,272,3052,
D7579,"VIPERWIRE ADVANCE PERIPHERAL 0.014"" TIP",VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,272,495,
D7580,DEVICE STEALTH SOLID CROWN,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,272,11203,
D7581,RELOAD ECHELON VASC WHT TIP,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,272,514,
D7582,PIN STEINMAN 9” STAINLESS STEEL,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,272,337,
D7583,CATH CHOCOLATE PTA BALLOON,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,3052,
D7584,MULTIFIX – S ULTRA,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,272,1633,
D7585,VINYL CONNECTING TUBE,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,272,37,
D7586,"SYRINGE + 60"" LOW PRESSURE TUBING",VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,272,35,
D7587,K-WIRE 100X1.1MM,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,272,116,
D7588,ENDO GIA 45MM ARTICULATING MED/THICK,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,272,682,
D7589,ENDO GIA ULTRA UNIVERSAL STAPLER,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,272,407,
D7590,FASCIAL DILATOR,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,272,22,
D7591,TRU CLOSE SUCTION DRAINAGE SYS,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,272,102,
D7592,CATH PERITONEAL DIALYSIS,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,272,490,
D7593,CATH PERITONEAL DIALYSIS SWN NECK CURL,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,272,490,
D7594,NEEDLE STEP INSUFFLATING 14G,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,272,116,
D7595,CANNULA AND DILATOR MINI STEP,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,272,449,
D7596,TROCAR ARGYLE FALLEN,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,272,516,
D7597,POWERFLEX PRO,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,272,495,
D7598,SUCTION EVACUATOR 100 CLOSED WOUND,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,272,26,
D7599,CATH CHOCOLATE BALLOON SZ 4.0MM,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,272,3052,
D7600,"PREVANA ""SINGLE UNIT SYSTEM"" 20CM",VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,272,1307,
D7601,"PREVANA ""FEEL & PLACE SYSTEM"" 13CM",VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,272,1307,
D7602,"PREVANA ""FEEL SYSTEM"" 90CM",VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,272,1716,
D7603,GUIDE WIRE DIGIFUSE SMOOTH .80 X 70MM,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,51,
D7604,CRONNER MANIPUJECTOR,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,272,93,
D7605,CATH CHOCOLATE PTA BALLOON SZ 3.0MM,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,272,3135,
D7606,DUAL SYRINGE KIT-60” LOW PRESS TUBING,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,272,55,
D7607,CATH & STARTER PLEURX PLEURAL KIT,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,272,2798,
D7608,CAT PLEURX PEURL KIT,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,272,1897,
D7609,MENISCUS II SET MENDER IN-OUT,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,272,364,
D7610,INTRODUCER CHECFLO PERFORMER,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,272,78,
D7611,K-WIRE 1.0,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,272,33,
D7612,DRILL 2.0MM SHORT,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,272,478,
D7613,DRILL CS QUICK COUPLING,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,272,796,
D7614,HIP ADJ FLEX EXT ABDUCT CONT,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,274,865,
D7615,SOFT INTERFACE ABOVE KNEE SE,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,274,245,
D7616,WHO COCK-UP NONMOLDE PRE OTS,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,274,153,
D7617,BRACE WRIST WHFO W/O JOINTS PRE OTS,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,274,1106,
D7618,BRACE WRIST WHFO W/O JOINTS PRE OTS,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,274,475,
D7619,CATH PERITONEAL DIALYSIS INTRO STYLET,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,272,197,
D7620,TRAY SAFETY ARTHROGRAM,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,272,86,
D7621,K-WIRE 0.9MM X 102MM,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,272,135,
D7622,"DRILL, QUICK RELEASE 2.8MMX5""",VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,272,287,
D7623,DRILL FOR DISTAL RADIUS 2.0MM,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,272,300,
D7624,BRACE AFO POS SOLIND ANKLE PLATIC MO,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,274,1478,L1930
D7625,GUIDEWIRE RADIFOCUS SMALL VESSEL GUIDEWI,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,272,631,C1769
D7626,STAPLIER RELOAD CARTRIDGE (BLUE),VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,272,118,
D7627,MM-STAPLIER RELOAD CARTRIDGE(GREEN),VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,272,118,
D7628,CATH BALLON ADVANCE LOW PROFILE,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,577,C1725
D7629,CATH CROSS CUT SUPPORT,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,272,664,C1887
D7630,CATH ADVANCED LOW SUPPORT,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,272,1237,C1887
D7631,WIREGUIDE MICRO WIRE,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,272,535,
D7632,CATH CXI SUPPORT,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,272,1008,C1887
D7633,WIREGUIDE MICROWIRE HYDRO,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,272,492,
D7635,ALEXIS O WOUND PROTECTOE/RETRACTION 5-9M,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,272,139,
D7637,POWER FLEX PRO PTA,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,420,C1725
D7638,BRACE AFO PLASTIC FOR FOOT DROP,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,274,578,
D7639,DILATOR SZ 10.0 FR/20 CM,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,270,28,
D7641,ARTHREX PASSPORT BUTTON CANNULA,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,272,96,
D7642,NEOX CORD 1k 8.0 X3.0 CM(QTY IS 24),VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,636,386.9,Q4148
D7643,WIRE GUIDE AMPLATZ 80CM,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,272,178,
D7644,KO W/ADJ JT ROT CNTRL MOLDED,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,274,3925,
D7645,SUSPENSION SLEEVE LOWER EXT,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,274,245,
D7646,FIBER LINK,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,272,165,
D7647,WIRE GUIDE SAVARY,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,272,276,
D7648,K-WIRE BIODRIVE 0.8 X 120 MM,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,570,
D7649,"K-WIRE BB-tANK,THREADED",VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,272,255,
D7650,K-WIRE 150X1.3MM TROC/RN,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,272,480,
D7651,Guidewire 3.0 Ball Nose,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,272,895,C1769
D7652,"K-WIRE SZ 1,6",VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,272,67,
D7653,GUIDEWIRE ALPS COMPRESSION MD,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,272,180,C1769
D7654,CATH PWERGLD FULL KIT RT 18G 10CM,VICTOR VALLEY GLOBAL MEDICAL CENTER,4570,272,330,
D7655,CATH PWRGLD BASIC KIT RT 18G 10CM,VICTOR VALLEY GLOBAL MEDICAL CENTER,4570,272,210,
D7656,CATH POWER MIDLINE 4FR SNGL LUMEN,VICTOR VALLEY GLOBAL MEDICAL CENTER,4570,272,399,
D7657,DRESSING POWERGLIDE MIDLINE CATH,VICTOR VALLEY GLOBAL MEDICAL CENTER,4570,272,40,
D7658,K-WIRE ADV ORTHO,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,322,C1713
D7659,BRACE KNEE ELAS W CONDYLE PADS,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,274,293,L1820
D7773,ROD CONNECTING 300MM,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,272,808,
D7774,CAP PIN,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,272,188,
D7880,SCREW ASNIS CANNUALTED SZ 5.0X60MM,VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,278,637,C1713
DAC40,ISOTONIC OPH SOL,VICTOR VALLEY GLOBAL MEDICAL CENTER,4710,250,74.75,
DAN50,DANTROLENE IV INJ,VICTOR VALLEY GLOBAL MEDICAL CENTER,4710,250,491.25,
DDA50,INJ DESMOPRESSIN ACET PER 1MCG,VICTOR VALLEY GLOBAL MEDICAL CENTER,4710,636,36,J2597
1-Dec,DECADRON TAB 4MG,VICTOR VALLEY GLOBAL MEDICAL CENTER,4710,636,7,J8540
4-Dec,DECADRON\HEXADROL ORAL,VICTOR VALLEY GLOBAL MEDICAL CENTER,4710,637,7,J8540
25-Dec,DEXAMETHOSONE SOD PHOSP 1MG,VICTOR VALLEY GLOBAL MEDICAL CENTER,4710,636,25,J1100
Dec-50,DEXAMETHASONE 10MG 1ML INJ DECADRON,VICTOR VALLEY GLOBAL MEDICAL CENTER,4710,636,24,J1100
Dec-55,DECADRON\HEXADROL INJ,VICTOR VALLEY GLOBAL MEDICAL CENTER,4710,636,25,J1100
DECNG,HYDROCOD/ACET 15ML,VICTOR VALLEY GLOBAL MEDICAL CENTER,4710,637,20,
DEM02,TORSEMIDE 10MG,VICTOR VALLEY GLOBAL MEDICAL CENTER,4710,250,7,
DEM23,DEMECLOYMYCIN 150MG,VICTOR VALLEY GLOBAL MEDICAL CENTER,4710,250,53.25,
DEM50,INJ TORSEMIDE 10MG/ML,VICTOR VALLEY GLOBAL MEDICAL CENTER,4710,250,0,
DEM51,INJ TORSEMIDE 10MG/ML,VICTOR VALLEY GLOBAL MEDICAL CENTER,4710,250,54.75,J3265
DEP02,DEPAKENE 250MG\5ML,VICTOR VALLEY GLOBAL MEDICAL CENTER,4710,250,10.75,
DEP03,DIVALPROEX TB 500MG,VICTOR VALLEY GLOBAL MEDICAL CENTER,4710,250,7,
DEP05,DEPAKOTE 250MG TAB,VICTOR VALLEY GLOBAL MEDICAL CENTER,4710,250,10.75,
DEP06,DIVALPROEX SOD 500MG DELAYED RELEASE TAB,VICTOR VALLEY GLOBAL MEDICAL CENTER,4710,250,7,
DEP07,"P-DIVALPROEX SOD 250MG, DELAYED RELEASE",VICTOR VALLEY GLOBAL MEDICAL CENTER,4710,250,7,
DEP50,DEPO-ESTRADIOL 5MG\ML,VICTOR VALLEY GLOBAL MEDICAL CENTER,4710,636,205.45,J1000
DEP51,INJ METHYLPREDNISOLONE ACET 20 MG,VICTOR VALLEY GLOBAL MEDICAL CENTER,4710,636,47.25,J1030
DEP52,METHYLPREDNISOLONE ACET 80MG,VICTOR VALLEY GLOBAL MEDICAL CENTER,4710,636,81.75,J1040
DEP53,VALPROATE SOD INJ 500MG/5ML,VICTOR VALLEY GLOBAL MEDICAL CENTER,4710,636,225.75,J3490
DEP54,P-MEDROXYPROGESTERONE,VICTOR VALLEY GLOBAL MEDICAL CENTER,4710,250,286.75,
DEP56,DEPO-TESTOSTERONE,VICTOR VALLEY GLOBAL MEDICAL CENTER,4710,250,362.5,J1071
DEPC5,DEPACON INJ 500MG,VICTOR VALLEY GLOBAL MEDICAL CENTER,4710,636,42,J3490
DEPCA,INJ MEPERIDINE HCL PER 100MG,VICTOR VALLEY GLOBAL MEDICAL CENTER,4710,636,55,J2175
DER30,DERMOPLAST SPRAY,VICTOR VALLEY GLOBAL MEDICAL CENTER,4710,250,25,
DES01,DESYREL 50MG TAB,VICTOR VALLEY GLOBAL MEDICAL CENTER,4710,250,7,
DES32,DESITIN 120GM,VICTOR VALLEY GLOBAL MEDICAL CENTER,4710,250,24.36,99070
