"Victor Valley Global Global Medical Center
OSHPD No. 106361370
Chargemaster 06-30-2018",,,,,,
CDM#,CDM Description,Facility,gl_account_id,Rev Code,Price,CPT/HCPCS
14056,"ED-HIP DISLOCATION,TRAUMATIC W/O ANES LT",VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,417,27250LT
14057,"ED-HIP DISLOCATION,TRAUMATIC W/O ANES RT",VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,417,27250RT
14058,"ED-HIP DISLOCATION,TRAUMATIC W/ANEST BIL",VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,3548.7,2725250
14059,"ED-HIP DISLOCATION,TRAUMATIC W/ANESTH LT",VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,2838.95,27252LT
14060,"ED-HIP DISLOCATION,TRAUMATIC W/ANESTH RT",VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,2838.95,27252RT
14061,ED-SPONTANOUS HIP DISLOC W/O ANES/MANIP,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,417,2725650
14062,ED-SPONTAN HIP DISLOC W/O ANES/MANIP LT,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,417,27256LT
14063,ED-SPONTAN HIP DISLOC W/O ANES/MANIP RT,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,417,27256RT
14064,ED-SPONTAN HIP DISLOC W/ANES/MANIP BI,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,3548.7,2725750
14065,ED-SPONTAN HIP DISLOC W/ANES/MANIP LT,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,2838.95,27257LT
14066,ED-SPONTAN HIP DISLOC W/ANES/MANIP RT,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,2838.95,27257RT
14067,POST HIP ARTHROPLASTY DISLOC WO ANES BI,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,835,2726550
14068,POST HIP ARTHROPLASTY DISLOC WO ANES LT,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,417,27265LT
14069,POST HIP ARTHROPLASTY DISLOC WO ANES RT,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,417,27265RT
14070,POST HIP ARTHROPLASTY DISLOC W ANES BIL,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,3000,2726650
14071,POST HIP ARTHROPLASTY DISLOC W ANES LT,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,2000,27266LT
14072,POST HIP ARTHROPLASTY DISLOC W ANES RT,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,2000,27266RT
14073,ED-FEFMORAL HEAD/PROXIMAL END WO MANI BI,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,3548.7,2726750
14074,ED-FEFMORAL HEAD/PROXIMAL END WO MANI LT,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,2838.95,27267LT
14075,ED-FEFMORAL HEAD/PROXIMAL END WO MANI RT,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,2838.95,27267RT
14079,ED-REMOVE FOREIGN BODY BOTH THIGH/KNEE D,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,4800,2737250
14080,ED-FEMORAL SHAFT FX W/O MANIPUL BI-LATER,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,835,2750050
14081,ED-FEMORALSHAFT FX wo MANIPULATION LT,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,417,27500LT
14082,ED-FEMORALSHAFT FX wo MANIPULATION RT,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,417,27500RT
14083,ED-FEMORAL SUPRA/TRANSCONDYLAR WO BIL,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,835,2750150
14084,ED-FEMORAL SUPRA/TRANSCONDYLAR WO LT,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,417,27501LT
14085,ED-FEMORAL SUPRA/TRANSCONDYLAR WO RT,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,417,27501RT
14086,ED-FEMORAL SHAFT FX W/MAN W/WO TRACT BIL,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,3500,2750250
14087,ED-FEMORAL SHAFT FX W/MAN W/WO TRACT LT,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,2000,27502LT
14088,ED-FEMORAL SHAFT FX W/MAN W/WO TRACT RT,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,2000,27502RT
14089,"ED-FEMORAL SUPRA/TRANSCONDYLAR W, BIL",VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,3548.7,2750350
14090,"ED-FEMORAL SUPRA/TRANSCONDYLAR W,MANP LT",VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,2838.95,27503LT
14091,"ED-FEMORAL SUPRA/TRANSCONDYLAR W,MANP RT",VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,2838.95,27503RT
14092,ED-FEM DISTAL/MED/LAT CONDYL FX W MAN BI,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,835,2750850
14093,ED-FEM DISTAL/MED/LAT CONDYL FX W MAN LT,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,417,27508LT
14094,ED-FEM DISTAL/MED/LAT CONDYL FX W MAN RT,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,417,27508RT
14095,"ED-IMM ADMIN <=18, W/CONSULT,1ST COMPONE",VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,771,59.7,90460
14096,"ED-IMMUNIZATION ADMIN, ADDTL COMPONET",VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,771,25,90461
14097,"ED-IMMUNIZATION ADMIN, EA ADDTL VACCINE",VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,771,217,90471
14098,ED-FEMORAL DISTAL/MED/LAT CONDLYE FX BIL,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,3548.7,2751050
14099,ED-FEMORAL DISTAL/MED/LAT CONDLYE FX LT,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,2838.95,27510LT
14100,ED-FEMORAL DISTAL/MED/LAT CONDLYE FX RT,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,2838.95,27510RT
14101,FEMOR DISTAL EPIPHYSEAL SEP W/O MAN BIL,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,835,2751650
14102,FEMOR DISTAL EPIPHYSEAL SEP W/O MANI LT,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,417,27516LT
14103,FEMOR DISTAL EPIPHYSEAL SEP W/O MANI RT,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,417,27516RT
14104,FEMORAL DISTAL EPIPHYSEAL SEP W/MANIP BI,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,5323,2751750
14105,FEMORAL DISTAL EPIPHYSEAL SEP W/MANIP LT,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,4258.4,27517LT
14106,FEMORAL DISTAL EPIPHYSEAL SEP W/MANIP RT,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,4258.4,27517RT
14107,ED-PATELLAR FX W/O MANIPULATION BI-LAT,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,835,2752050
14108,ED-PATELLAR FX W/O MANIPULATION LT,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,417,27520LT
14109,ED-PATELLAR FX W/O MANIPULATION RT,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,417,27520RT
14110,ED-TIBIAL PROXIMAL/PLATEAU FX WO MANI BI,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,835,2753050
14111,ED-TIBIAL PROXIMAL/PLATEAU FX WO MANI LT,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,417,27530LT
14112,ED-TIBIAL PROXIMAL/PLATEAU FX WO MANI RT,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,417,27530RT
14113,ED-TIBIAL PROXIMAL/PLATEAU FX TRACT BI,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,7107.6,2753250
14114,ED-TIBIAL PROXIMAL/PLATEAU FX W/MANIP LT,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,5686.05,27532LT
14115,ED-TIBIAL PROXIMAL/PLATEAU FX W/MANIP RT,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,5686.05,27532RT
14116,ED-CLSD TX INTRCONDYLAR SPINE/KNEE FX BI,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,835,2753850
14117,ED-CLSD TX INTRCONDYLAR SPINE/KNEE FX LT,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,417,27538LT
14118,ED-CLSD TX INTRCONDYLAR SPINE/KNEE FX RT,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,417,27538RT
14119,ED-KNEE DISLOCATION WO ANEST BI-LATERAL,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,835,2755050
14120,ED-KNEE DISLOCATION WO ANESTHESIA LT,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,417,27550LT
14121,ED-KNEE DISLOCATION WO ANESTHESIA RT,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,417,27550RT
14122,ED-KNEE DISLOCATION W/ANESTHESIA BOTH,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,3000,2755250
14123,ED-KNEE DISLOCATION W/ANESTHESIA  LT,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,2000,27552LT
14124,ED-KNEE DISLOCATION W/ANESTHESIA  RT,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,2000,27552RT
14125,ED-PATELLAR DISLOCATION W/O ANESTH BOTH,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,835,2756050
14126,ED-PATELLAR DISLOCATION W/O ANESTH LT,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,417,27560LT
14127,ED-PATELLAR DISLOCATION W/O ANESTH RT,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,417,27560RT
14128,ED-PATELLAR DISLOCATION W/ANESTH BOTH,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,1880,2756250
14129,ED-PATELLAR DISLOCATION W/ANESTH LT,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,1252,27562LT
14130,ED-PATELLAR DISLOCATION W/ANESTH RT,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,1252,27562RT
14131,ED-TIBIAL SHFT FX W/WO FIB FX W/O MAN BI,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,835,2775050
14132,ED-TIBIAL SHFT FX W/WO FIB FX W/O MAN LT,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,417,27750LT
14133,ED-TIBIAL SHFT FX W/WO FIB FX W/O MAN RT,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,417,27750RT
14134,ED-TIBIAL SHFT FX W/WO FIB FX W/MAN BI,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,3000,2775250
14135,ED-TIBIAL SHFT FX W/WO FIB FX W/MAN LT,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,2000,27752LT
14136,ED-TIBIAL SHFT FX W/WO FIB FX W/MAN RT,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,2000,27752RT
14137,"ED-IMM ADMIN,INTRANASAL/ORAL EA ADD",VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,771,25,90474
14138,ED-IMM ADMIN BY NASAL or ORAL 1 VACCINE,VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,771,157,90473
14139,"ED-STRAPPING, KNEE RIGHT",VICTOR VALLEY GLOBAL MEDICAL CENTER,4010,450,417,29530RT
