Lakeland Community Hospital,,
Standard Charges,,
,,
SVCCD,Description,Price
110779,THEOPH 200MG SRT,$5.50 
110781,FLUTIC PROP INH 16GM,$53.00 
110784,GUAIFENESIN 10ML OL,$1.00 
110786,GUAIFENESIN AC 5ML O,$5.50 
110787,GUAIFAN-DM 5ML OL,$0.50 
110791,PINDOLOL 10MG T,$8.00 
110792,PINDOLOL 5MG T,$8.00 
110797,PRAZOSIN 1MG C,$4.50 
110803,SIMVASTATIN 10MG T,$14.00 
110808,THEOPH 300MG SRT,$5.50 
110816,PROPRAN 10MG T,$7.50 
110817,PROPRAN 20MG T,$7.50 
110819,PROPRAN 80MG T,$4.50 
110822,PROPRAN 80MG SRC,$5.50 
110827,PSEUDOFED 30MG T,$0.50 
110831,TUSSIONEX 5ML,$19.00 
110837,QUINIDINE 324 SRT,$3.00 
110849,SPIRONOLAC 25MG T,$4.50 
110852,TERBUTALINE 2.5MG T,$4.50 
110861,THEOPH 80MG\15ML 15M,$5.50 
110868,BENZON 100MG SRC,$12.00 
110871,VERAP 80MG T,$4.50 
110873,THEOPH 400MG SRT,$7.50 
110882,AMANTAD 100MG C,$5.50 
110891,AMOX 250/5 5 ML,$4.50 
110892,AMOX 250MG C,$4.50 
110893,AMOX 500MG C,$4.50 
110899,AMPICIL 125/5 5ML,$3.00 
110902,AMPICIL 250/5 5ML,$3.50 
110904,AMPICIL 250MG C,$3.00 
110914,BACITRACIN O 03.5 GM,$10.00 
110916,BAC POLY OINT 15G,$8.00 
110921,CEFACLOR 125\5 75ML,$10.50 
110933,CIPROFLOX OS 0.3% 5M,$60.00 
110939,CEPHALEX 500M C,$29.50 
110949,CLINDAMY 150MG C,$14.00 
110952,CLOTRIM CR 1% 15G,$6.50 
110969,DOXYCYCLINE 100MG C,$9.50 
110976,ERYTHR BASE 250MG T,$7.50 
110996,GENTAMIC 15GM CR,$10.50 
110998,GENTAMIC OO 3.5GM,$43.50 
110999,ACYCLOVIR 800MG T,$9.50 
111016,CLARITHRO 500MG T,$12.00 
111017,ISONIAZID 300MG T,$12.50 
111027,METHEN HIPP 1GM T,$6.50 
111028,METH MAND 0.5GM T,$2.50 
111031,URISED T,$6.50 
111032,METRONID 250MG T,$17.50 
111034,MICONAZO V CR 45GM,$14.00 
111038,MICONAZO V SUP 100,$11.00 
111042,CEFPROZIL 125\5ML 50,$12.00 
111043,NEOMYCIN 500MG T,$7.50 
111044,AZITHROMY 250MG C,$14.50 
111047,NEO BAC PMX 15GM,$5.50 
111051,NEO PMX GM 1ML OS,$22.50 
111054,NYSTAT TRIAM 15GM CR,$24.50 
111064,NITROFUR 100MG C,$9.50 
111066,NITROFUR 50MG C,$12.00 
111072,NYSTATIN 5ML,$17.50 
111074,NYSTATIN 15GM CR,$24.50 
111076,NYSTATIN 15GM PWD,$12.00 
111079,ITRACON 100MG C,$34.00 
111083,PEN VK 250\5 100ML,$0.50 
111087,TOBRAMY OO 3.5GM,$405.00 
111088,NEO BAC P HC 3.5 OO,$187.50 
111091,NEO PMX HC OS 7.5ML,$187.50 
111094,POVIDO IOD 10% 30GM,$19.00 
111099,POVIDO IOD SWAB,$9.00 
111103,KETOROL 0.5% OS,$54.50 
111108,RIFAMPIN 300MG C,$20.00 
111113,SILVER SD 400GM CR,$196.50 
111119,SULFAC OS 10% 15ML,$28.50 
111121,RIMANTADINE 100MG T,$10.50 
111126,SULFASALA 500MG T,$5.50 
111134,TOBRAMY .3% 5ML OS,$84.00 
111142,TRIMETHOPR 100MG T,$3.50 
111143,SMX\TMP 400\80 T,$4.50 
111146,SMX\TMP 800\160 T,$8.50 
111147,AMPICILLIN 500MG C,$3.00 
111149,NEO PMX DEX OS 15ML,$52.00 
111164,AMOX KCLAV 250 T,$10.50 
111166,AMOX KCLAV 500T,$14.00 
111167,CLOTRIM BETA CR 15G,$48.50 
111168,AMOX KCLAV 200/5 50M,$10.00 
111172,MICONAZ 200MG VSUP,$61.00 
111174,ACYCLOVIR 200MG C,$9.50 
111177,SULFAC PRED OO 3.5GM,$52.00 
111178,KETOCON CR 2% 15GM,$31.50 
111189,FAMCICLOVIR 500MG T,$10.00 
111191,CIPROFLOX 250 MG T,$20.00 
111192,CIPROFLOX 500MG T,$20.00 
111196,CEFUROX AX 250T,$20.00 
111197,MUPIRO 2% 15GM OI,$52.00 
111226,ANUSOL HC CR 30GM,$31.50 
111227,ANUSOL HC RS,$1.00 
111228,ANUSOL OINT 30GM,$12.50 
111229,ANUSOL RS,$0.50 
111234,BISACODYL 5MG T,$0.50 
111236,BISACODYL 10MG RS,$0.50 
111238,BISMUTH SUBS 30ML,$0.50 
111249,PREPARATION H OI,$0.50 
111252,CHLORD CLID C,$12.00 
111257,CIMETIDINE 300MG T,$4.50 
111258,CIMETID 300MG\5ML 5M,$12.00 
111259,DICYCLOMINE 10 MG C,$5.50 
111262,DICYCLOM 10\5 5ML,$19.00 
111267,PREPARATION H RS,$1.00 
